"Year","China","USA","EU27","India","Russia","Japan","World"
1850,"NaN",0.229095,"NaN","NaN","NaN","NaN",0.042559
1851,"NaN",0.275473,"NaN","NaN","NaN","NaN",0.042753
1852,"NaN",0.289803,"NaN","NaN","NaN","NaN",0.044407
1853,"NaN",0.314716,"NaN","NaN","NaN","NaN",0.046238
1854,"NaN",0.336654,"NaN","NaN","NaN","NaN",0.054038
1855,"NaN",0.375885,"NaN","NaN","NaN","NaN",0.054823
1856,"NaN",0.382938,"NaN","NaN","NaN","NaN",0.058136
1857,"NaN",0.381636,"NaN","NaN","NaN","NaN",0.058384
1858,"NaN",0.376562,"NaN",0.000444,"NaN","NaN",0.058977
1859,"NaN",0.398845,"NaN",0.000714,"NaN","NaN",0.062217
1860,"NaN",0.406641,"NaN",0.000719,"NaN","NaN",0.067926
1861,"NaN",0.381514,"NaN",0.000554,"NaN","NaN",0.071075
1862,"NaN",0.386387,"NaN",0.000611,"NaN","NaN",0.071999
1863,"NaN",0.435430,"NaN",0.000674,"NaN","NaN",0.076447
1864,"NaN",0.454899,"NaN",0.000636,"NaN","NaN",0.081941
1865,"NaN",0.445556,"NaN",0.000622,"NaN","NaN",0.086571
1866,"NaN",0.438467,"NaN",0.000700,"NaN","NaN",0.088849
1867,"NaN",0.527389,"NaN","NaN","NaN","NaN",0.094703
1868,"NaN",0.583089,"NaN","NaN","NaN",0.000088,0.096766
1869,"NaN",0.649275,"NaN","NaN","NaN",0.000146,0.102224
1870,"NaN",0.668876,"NaN","NaN","NaN",0.000145,0.103919
1871,"NaN",0.684145,"NaN","NaN","NaN",0.000202,0.109901
1872,"NaN",0.818113,"NaN","NaN","NaN",0.000258,0.120957
1873,"NaN",0.881897,"NaN","NaN","NaN",0.000314,0.127824
1874,"NaN",0.829028,"NaN","NaN","NaN",0.004541,0.119044
1875,"NaN",0.818853,"NaN","NaN","NaN",0.011090,0.128451
1876,"NaN",0.783157,"NaN","NaN","NaN",0.010724,0.129613
1877,"NaN",0.848769,"NaN","NaN","NaN",0.009773,0.131469
1878,"NaN",0.812105,"NaN",0.001881,"NaN",0.013961,0.131752
1879,"NaN",0.969433,"NaN",0.001790,"NaN",0.017288,0.140436
1880,"NaN",1.074677,"NaN",0.002002,"NaN",0.017415,0.157965
1881,"NaN",1.108692,"NaN",0.001936,"NaN",0.017757,0.162388
1882,"NaN",1.211554,"NaN",0.002292,"NaN",0.018335,0.170565
1883,"NaN",1.275821,"NaN",0.002526,"NaN",0.019594,0.180388
1884,"NaN",1.313645,"NaN",0.002802,"NaN",0.021160,0.181410
1885,"NaN",1.305932,"NaN",0.002503,"NaN",0.023785,0.181753
1886,"NaN",1.348877,"NaN",0.002798,"NaN",0.025478,0.183569
1887,"NaN",1.411185,"NaN",0.003069,"NaN",0.031416,0.191669
1888,"NaN",1.680171,"NaN",0.003384,"NaN",0.035948,0.211035
1889,"NaN",1.476686,"NaN",0.003958,"NaN",0.043010,0.209756
1890,"NaN",1.732128,"NaN",0.004325,"NaN",0.046011,0.227225
1891,"NaN",1.805472,"NaN",0.004650,"NaN",0.054903,0.236435
1892,"NaN",1.864919,"NaN",0.005104,"NaN",0.054174,0.237012
1893,"NaN",1.843408,"NaN",0.005382,"NaN",0.057072,0.232814
1894,"NaN",1.692523,"NaN",0.005444,"NaN",0.072769,0.239525
1895,"NaN",1.875280,"NaN",0.006807,"NaN",0.079880,0.252469
1896,"NaN",1.844342,"NaN",0.007349,"NaN",0.083539,0.259162
1897,"NaN",1.884081,"NaN",0.007959,"NaN",0.086673,0.269819
1898,"NaN",2.017217,"NaN",0.008784,"NaN",0.109097,0.282896
1899,"NaN",2.273566,"NaN",0.009662,"NaN",0.108055,0.307176
1900,"NaN",2.367797,"NaN",0.011444,"NaN",0.120128,0.322049
1901,"NaN",2.528290,"NaN",0.012568,"NaN",0.142224,0.330612
1902,"NaN",2.625560,"NaN",0.013756,"NaN",0.150436,0.336718
1903,"NaN",3.015673,"NaN",0.013945,"NaN",0.153531,0.364535
1904,"NaN",2.918546,"NaN",0.015506,"NaN",0.170965,0.366049
1905,"NaN",3.199597,"NaN",0.015755,"NaN",0.174443,0.386891
1906,"NaN",3.294937,"NaN",0.018080,"NaN",0.189870,0.401014
1907,0.013053,3.761948,"NaN",0.020014,"NaN",0.200709,0.453537
1908,0.014834,3.226543,"NaN",0.022759,"NaN",0.212826,0.432711
1909,0.015735,3.502133,"NaN",0.021927,"NaN",0.213653,0.447154
1910,0.016136,3.741066,"NaN",0.021219,"NaN",0.217073,0.465912
1911,0.015719,3.645420,"NaN",0.022315,"NaN",0.240287,0.469501
1912,0.010749,3.831579,"NaN",0.025657,"NaN",0.264031,0.489847
1913,0.015141,4.033634,"NaN",0.028278,"NaN",0.286887,0.527038
1914,0.016500,3.615002,"NaN",0.028458,"NaN",0.302199,0.474670
1915,0.015527,3.697999,"NaN",0.029735,"NaN",0.271478,0.464556
1916,0.018203,4.049949,"NaN",0.030042,"NaN",0.297185,0.498141
1917,0.019136,4.392835,"NaN",0.031358,"NaN",0.338336,0.517082
1918,0.020538,4.544649,"NaN",0.035209,"NaN",0.355756,0.506405
1919,0.022213,3.827525,"NaN",0.038418,"NaN",0.391182,0.435725
1920,0.023290,4.438694,"NaN",0.031140,"NaN",0.363198,0.502580
1921,0.022335,3.565910,"NaN",0.033310,"NaN",0.322783,0.437371
1922,0.022950,3.546717,"NaN",0.032448,"NaN",0.340768,0.454776
1923,0.026614,4.606121,"NaN",0.033047,"NaN",0.357578,0.511463
1924,0.027847,4.046120,"NaN",0.035012,"NaN",0.369015,0.508411
1925,0.026107,4.126570,"NaN",0.034199,"NaN",0.376046,0.509233
1926,0.024715,4.413906,"NaN",0.033729,"NaN",0.372706,0.495596
1927,0.025840,4.254463,"NaN",0.035022,"NaN",0.397558,0.535900
1928,0.026751,4.130887,"NaN",0.033172,"NaN",0.404352,0.528568
1929,0.027043,4.383749,"NaN",0.034173,"NaN",0.409451,0.562039
1930,0.027660,3.850896,"NaN",0.034399,"NaN",0.366289,0.513357
1931,0.028756,3.251816,"NaN",0.031095,"NaN",0.326079,0.454486
1932,0.027644,2.736773,"NaN",0.028516,"NaN",0.321547,0.405737
1933,0.029537,2.917604,"NaN",0.027602,"NaN",0.371077,0.422901
1934,0.033873,3.087043,"NaN",0.030402,"NaN",0.405652,0.455293
1935,0.039239,3.185484,"NaN",0.031329,"NaN",0.419344,0.473066
1936,0.040554,3.634058,"NaN",0.030363,"NaN",0.454477,0.513769
1937,0.037931,3.779038,"NaN",0.033163,"NaN",0.480279,0.543752
1938,0.032626,3.170600,"NaN",0.036559,"NaN",0.500200,0.506192
1939,0.039363,3.466936,"NaN",0.035287,"NaN",0.481806,0.530595
1940,0.047765,3.858137,"NaN",0.036910,"NaN",0.573195,0.574235
1941,0.059649,4.164715,"NaN",0.037334,"NaN",0.570172,0.582534
1942,0.066434,4.431501,"NaN",0.036865,"NaN",0.537608,0.576843
1943,0.056444,4.517334,"NaN",0.031755,"NaN",0.540923,0.582329
1944,0.053061,4.802732,"NaN",0.032094,"NaN",0.490603,0.587179
1945,0.028641,4.584353,"NaN",0.035163,"NaN",0.274398,0.485081
1946,0.018405,4.340765,"NaN",0.034329,"NaN",0.186336,0.525669
1947,0.021214,4.689081,"NaN",0.041949,"NaN",0.244673,0.577909
1948,0.019369,4.788263,"NaN",0.041488,"NaN",0.299918,0.603890
1949,0.031150,3.945027,"NaN",0.043198,"NaN",0.327694,0.579278
1950,0.039553,4.677836,1.059242,0.046710,1.104245,0.331773,0.655557
1951,0.050342,4.745825,1.177180,0.047882,1.178694,0.393247,0.684672
1952,0.061836,4.552672,1.215561,0.049336,1.242651,0.409462,0.681266
1953,0.063239,4.587595,1.229039,0.049187,1.293826,0.451801,0.687180
1954,0.074428,4.294647,1.296788,0.050711,1.390701,0.436636,0.688400
1955,0.086187,4.621432,1.392006,0.053950,1.552040,0.429806,0.739767
1956,0.095579,4.757711,1.479404,0.054669,1.674330,0.481662,0.772128
1957,0.110809,4.635875,1.514793,0.059985,1.803337,0.558902,0.781718
1958,0.222404,4.406519,1.490367,0.061344,1.895369,0.533536,0.787826
1959,0.301371,4.459291,1.500879,0.063518,1.963982,0.561800,0.813755
1960,0.333266,4.488100,1.610269,0.068131,2.016471,0.671733,0.848605
1961,0.237676,4.399542,1.672857,0.072009,2.050870,0.809391,0.837754
1962,0.188743,4.491660,1.775908,0.077480,2.126142,0.830290,0.851161
1963,0.182287,4.621173,1.879950,0.081343,2.256094,0.911660,0.877219
1964,0.178429,4.757197,1.961500,0.077843,2.377094,0.996250,0.904649
1965,0.188633,4.890922,1.969556,0.083879,2.501585,1.060413,0.925610
1966,0.201847,5.081207,2.013765,0.085123,2.623260,1.138910,0.950791
1967,0.165054,5.218821,2.043213,0.083425,2.725505,1.315349,0.961519
1968,0.173297,5.355408,2.153608,0.089061,2.786643,1.491553,0.993488
1969,0.206945,5.566051,2.281963,0.088794,2.887156,1.712543,1.037789
1970,0.268087,5.912354,2.367586,0.088963,3.022441,1.988268,1.100356
1971,0.294262,5.871865,2.419204,0.091916,3.192051,2.035760,1.122458
1972,0.306393,6.081190,2.494354,0.095076,3.339621,2.149125,1.152007
1973,0.312129,6.299422,2.598982,0.095734,3.461304,2.275052,1.189531
1974,0.311991,6.026446,2.569516,0.096621,3.572064,2.246064,1.162430
1975,0.352881,5.785000,2.504589,0.102517,3.730311,2.108669,1.143806
1976,0.360158,6.075803,2.680389,0.104790,3.847458,2.178952,1.185381
1977,0.388240,6.194374,2.640673,0.108453,3.950546,2.219425,1.197860
1978,0.426553,6.189719,2.717161,0.107795,4.057901,2.124758,1.213770
1979,0.430024,6.200449,2.779573,0.110687,4.066230,2.227693,1.226499
1980,0.415205,5.881370,2.743550,0.114254,4.203382,2.192397,1.197657
1981,0.404079,5.668106,2.589086,0.120587,4.101234,2.136721,1.148260
1982,0.432645,5.323523,2.519014,0.121789,4.153303,2.056503,1.118507
1983,0.449265,5.247148,2.482800,0.128883,4.182125,2.006973,1.105606
1984,0.482201,5.466507,2.498930,0.129348,4.188383,2.122927,1.123786
1985,0.514344,5.400083,2.529468,0.139076,4.485305,2.055975,1.141024
1986,0.532854,5.358675,2.511565,0.145825,4.450292,2.045671,1.137306
1987,0.561785,5.491044,2.526256,0.152351,4.428527,2.014607,1.151798
1988,0.593328,5.689122,2.490893,0.160958,4.541003,2.190247,1.175651
1989,0.592724,5.718180,2.507976,0.173187,4.454540,2.262041,1.170889
1990,0.587829,5.635441,2.520682,0.181228,4.674347,2.555524,1.168340
1991,0.607599,5.495168,2.472517,0.188932,4.422417,2.573162,1.173477
1992,0.629578,5.535217,2.381893,0.197106,3.607084,2.586829,1.121977
1993,0.666798,5.562682,2.332130,0.199549,3.420230,2.564538,1.116325
1994,0.700803,5.583500,2.314997,0.206808,3.020194,2.677606,1.107449
1995,0.752341,5.576236,2.341959,0.215518,2.974294,2.697859,1.114791
1996,0.778412,5.698728,2.392690,0.229048,2.920444,2.718805,1.131940
1997,0.773966,5.702946,2.347206,0.233879,2.733351,2.696469,1.122970
1998,0.735586,5.676619,2.338646,0.234320,2.706739,2.604291,1.103738
1999,0.772373,5.680135,2.300743,0.249437,2.765919,2.678114,1.112455
2000,0.786859,5.814538,2.304537,0.251926,2.747354,2.721845,1.129788
2001,0.798515,5.652192,2.337020,0.250859,2.826976,2.684863,1.124339
2002,0.876238,5.634276,2.332736,0.254006,2.822274,2.742860,1.136297
2003,1.022237,5.640029,2.378373,0.258591,2.890862,2.756375,1.180318
2004,1.099382,5.680427,2.377256,0.270104,2.914955,2.742862,1.206917
2005,1.229120,5.643091,2.356818,0.280085,2.959066,2.756200,1.232444
2006,1.348701,5.515059,2.355263,0.293009,3.081242,2.704936,1.257209
2007,1.441259,5.531014,2.324064,0.311297,3.086648,2.778931,1.278484
2008,1.538212,5.284392,2.262669,0.330550,3.141457,2.626343,1.285609
2009,1.607346,4.850527,2.072348,0.359417,2.934517,2.478320,1.248805
2010,1.744342,4.982917,2.129739,0.368816,3.098439,2.588654,1.303537
2011,1.916290,4.822972,2.063647,0.385960,3.196874,2.697196,1.330726
2012,1.953091,4.607314,2.015433,0.420281,3.220049,2.788272,1.334057
2013,1.974662,4.683789,1.962259,0.430679,3.095444,2.812152,1.329480
2014,1.970042,4.685752,1.876076,0.456672,3.086408,2.707090,1.323070
2015,1.932197,4.520553,1.906657,0.468491,3.074554,2.624369,1.306769
2016,1.901087,4.380487,1.908933,0.486021,3.055892,2.587307,1.290411
2017,1.937414,4.312439,1.920936,0.490725,3.103839,2.560615,1.296311
2018,1.994143,4.418101,1.872888,0.518427,3.186338,2.471700,1.308066
2019,2.061726,4.293363,1.782445,0.518272,3.169221,2.399683,1.303393
2020,2.098512,3.831118,1.606942,0.477881,3.044225,2.271151,1.227463
2021,2.195889,4.055313,1.712806,0.525406,3.302033,2.337811,1.281031
