"YYYYMM","Hydro","Coal/Lignite","Gas","Diesel","Nuclear","RES","Small hydro","Wind","Biomass","Waste","Solar"
201109,38706.400000,99753.380000,17742.850000,1199.750000,4780,20162.240000,,,,,
201110,38706.400000,100098.380000,17742.850000,1199.750000,4780,20162.240000,,,,,
201111,38748.400000,102863.380000,17742.850000,1199.750000,4780,20162.240000,,,,,
201112,38748.400000,104021.380000,17742.850000,1199.750000,4780,20162.240000,,,,,
201201,38848.400000,104816.380000,17742.850000,1199.750000,4780,20162.240000,,,,,
201202,38848.400000,105437.380000,18093.850000,1199.750000,4780,22233.170000,,,,,
201203,38990.400000,112022.380000,18381.050000,1199.750000,4780,24503.440000,3410.520000,16896.600000,3135.330000,119.680000,1030
201204,38990.400000,113782.380000,18381.050000,1199.750000,4780,24503.450000,,,,,
201205,39060.400000,114782.380000,18653.050000,1199.750000,4780,24503.450000,,,,,
201206,39291.400000,116333.380000,18903.050000,1199.750000,4780,24832.680000,,,,,
201207,39291.400000,117283.380000,18903.050000,1199.750000,4780,24998.460000,,,,,
201208,39291.400000,117833.380000,18903.050000,1199.750000,4780,24998.460000,,,,,
201209,39291.400000,118703.380000,18903.050000,1199.750000,4780,24998.460000,,,,,
201210,39291.400000,120103.380000,18903.050000,1199.750000,4780,24998.460000,,,,,
201211,39324.400000,120873.380000,18903.050000,1199.750000,4780,25856.140000,,,,,
201212,39339.400000,120873.380000,18903.050000,1199.750000,4780,25856.140000,,,,,
201301,39416.400000,121610.880000,18903.050000,1199.750000,4780,25856.140000,,,,,
201302,39449.400000,123695.880000,19648.850000,1199.750000,4780,25856.140000,,,,,
201303,39491.400000,130220.890000,20109.850000,1199.750000,4780,27541.710000,3643.170000,18484.990000,3600.930000,126.080000,1686
201304,39623.400000,130370.890000,20109.850000,1199.750000,4780,27541.710000,,,,,
201305,39623.400000,131628.390000,20359.850000,1199.750000,4780,27541.710000,,,,,
201306,39623.400000,132288.390000,20359.850000,1199.750000,4780,27541.710000,,,,,
201307,39623.400000,132288.390000,20359.850000,1199.750000,4780,27541.710000,,,,,
201308,39623.400000,133188.390000,20380.850000,1199.750000,4780,28184.350000,,,,,
201309,39788.400000,134388.390000,20380.850000,1199.750000,4780,28184.350000,,,,,
201310,39818.400000,134888.390000,20380.850000,1199.750000,4780,28184.350000,,,,,
201311,39893.400000,136448.390000,20380.850000,1199.750000,4780,29462.550000,,,,,
201312,39893.400000,138213.390000,20380.850000,1199.750000,4780,29462.550000,,,,,
201401,39875.400000,138903.390000,20380.850000,1199.750000,4780,29462.550000,,,,,2208.365500
201402,40195.400000,140723.390000,21381.850000,1199.750000,4780,29462.550000,,,,,
201403,40531.410000,145273.390000,21781.850000,1199.750000,4780,31692.140000,3803.680000,21136.400000,4013.550000,106.580000,2631.930000
201404,40531.410000,145408.390000,21781.850000,1199.750000,4780,31692.140000,,,,,
201405,40661.410000,147568.390000,22607.950000,1199.750000,4780,31692.140000,,,,,
201406,40730.090000,148478.390000,22607.950000,1199.750000,4780,31692.140000,,,,,
201407,40798.760000,149178.390000,22607.950000,1199.750000,4780,31692.140000,,,,,
201408,40798.760000,152310.890000,22607.950000,1199.750000,4780,31692.140000,,,,,
201409,40798.760000,152970.890000,22607.950000,1199.750000,4780,31692.140000,,,,,
201410,40798.760000,153570.890000,22607.950000,1199.750000,4780,31692.140000,,,,,
201411,40798.760000,153570.890000,22971.250000,1199.750000,4780,31692.140000,,,,,
201412,40867.430000,154170.890000,22971.250000,1199.750000,4780,31692.140000,,22465,,,
201501,40867.430000,156190.890000,22971.250000,1199.750000,5780,31692.140000,,,,,
201502,40867.430000,158495.890000,22971.250000,1199.750000,5780,31692.140000,,,,,
201503,41267.430000,164635.880000,23062.150000,1199.750000,5780,35776.960000,4055.360000,23444,4418.550000,115.080000,3743.970000
201504,41632.430000,165235.880000,23062.150000,1199.750000,5780,35776.960000,,,,,
201505,41632.430000,165257.880000,23062.150000,993.530000,5780,35776.960000,,,,,
201506,41997.420000,167207.880000,23062.150000,993.530000,5780,36470.640000,4101.550000,23762.810000,4418.550000,127.080000,4060.650000
201507,41997.420000,167707.880000,22962.150000,993.530000,5780,36470.640000,,,,,
201508,41997.420000,168207.880000,23333.150000,993.530000,5780,36470.640000,,,,,
201509,42283.420000,169117.880000,24088.150000,993.530000,5780,36470.640000,,,,,
201510,42473.420000,170137.880000,24473.030000,993.530000,5780,36470.640000,,,,,
201511,42623.420000,170137.880000,24473.030000,993.530000,5780,37415.530000,,,,,
201512,42623.420000,173017.880000,24473.030000,993.530000,5780,38821.510000,4176.820000,25088.190000,4550.550000,127.080000,4878.870000
201601,42663.420000,175237.880000,24508.630000,993.530000,5780,38821.510000,,,,,
201602,42703.420000,175857.880000,24508.630000,993.530000,5780,38821.510000,,,,,
201603,42783.420000,185172.880000,24508.630000,993.530000,5780,42849.380000,4273.470000,26866.660000,4831.330000,115.080000,6762.850000
201604,42783.420000,185992.880000,24508.630000,918.890000,5780,42849.380000,,,,,
201605,42783.430000,186242.880000,24508.630000,918.890000,5780,42849.380000,,,,,
201606,42848.430000,186212.880000,24508.630000,918.890000,5780,44236.920000,4304.270000,27151.400000,4860.830000,115.080000,7805.340000
201607,42888.430000,186292.880000,24643.630000,918.890000,5780,44236.920000,,,,,
201608,42968.430000,186592.880000,25057.130000,918.890000,5780,44236.920000,,,,,
201609,43112.430000,187252.880000,25057.130000,918.890000,5780,45916.950000,4323.370000,28082.950000,4882.330000,115.080000,8513.230000
201610,43112.430000,186492.880000,25057.130000,918.890000,5780,45916.950000,,,,,8728.610000
201611,43133.430000,187802.880000,25282.130000,918.890000,5780,45916.950000,,,,,
201612,43139.430000,188967.880000,25282.130000,918.890000,5780,50018,4333.860000,28700.440000,7856.940000,114.080000,9012.690000
201701,44189.430000,188487.880000,25329.380000,837.630000,5780,50018,,,,,9235.240000
201702,44413.430000,189047.880000,25329.380000,837.630000,5780,50018,,,,,
201703,44478.420000,192162.880000,25329.380000,837.630000,6780,57244.230000,4379.860000,32279.770000,8181.700000,114.080000,12288.830000
201704,44594.420000,194402.880000,25329.380000,837.630000,6780,57260.230000,,,,,
201705,44594.420000,195602.880000,25185.380000,837.630000,6780,57260.230000,,,,,
201706,44614.420000,194552.880000,25185.380000,837.630000,6780,58303.350000,4384.550000,32508.170000,8181.700000,114.080000,13114.850000
201707,44614.420000,194432.880000,25185.380000,837.630000,6780,58303.350000,,,,,13652
201708,44653.420000,193466.500000,25185.380000,837.630000,6780,58303.350000,,,,,
201709,44765.420000,193426.500000,25185.380000,837.630000,6780,60157.660000,4389.550000,32700.640000,8181.700000,114.080000,14771.690000
201710,44765.420000,193426.500000,25150.380000,837.630000,6780,60157.660000,,,,,
201711,44963.420000,192971.500000,25150.380000,837.630000,6780,60157.660000,4399.355000,,8842,,
201712,44963.420000,192971.500000,25150.380000,837.630000,6780,62846.900000,4418.150000,32848.460000,8413.800000,114.080000,17052.410000
201801,44963.420000,193821.500000,25150.380000,837.630000,6780,62846.900000,,,,,
201802,44963.420000,193821.500000,24897.460000,837.630000,6780,62846.900000,,,,,
201803,45293.420000,197171.500000,24897.460000,837.630000,6780,69022.390000,4485.810000,34036,8700.800000,138.300000,21651.480000
201804,45293.420000,196957.500000,24897.460000,837.629000,6780,69022.390000,,,,,
201805,45403.420000,196957.500000,24897.460000,837.630000,6780,69022.390000,,,,,
201806,45403.420000,196957.500000,24897.460000,837.630000,6780,70648.610000,4493.200000,34293.480000,8700.800000,138.300000,23022.830000
201807,45457.420000,196097.500000,24867.460000,837.630000,6780,70648.610000,,,,,
201808,45457.420000,196097.500000,24867.460000,837.630000,6780,70648.610000,,,,,
201809,45487.420000,196097.500000,24867.460000,837.630000,6780,72012.810000,4506.950000,34615.100000,8730.800000,138.300000,24021.660000
201810,45487.420000,195992.500000,24937.220000,837.630000,6780,73350,4506.950000,34986.350000,,138.300000,24312.580000
201811,45399.220000,196652.500000,24937.220000,837.630000,6780,73715.830000,,,,,
201812,45399.220000,197452.500000,24937.220000,637.630000,6780,74081.660000,4517.450000,35138.150000,9075.500000,138.300000,25212.260000
201901,45399.220000,197452.500000,24937.220000,637.630000,6780,75055.920000,4528.050000,35288.100000,9075.500000,138.300000,26025.970000
201902,45399.220000,197352.500000,24937.220000,637.630000,6780,75055.920000,4528.050000,35288.100000,9075.500000,138.300000,26025.970000
201903,45399.220000,200704.500000,24937.220000,637.630000,6780,78316.435000,4593.150000,35625.965000,9778.310000,138.300000,28180.710000
201904,45399.220000,200704.500000,24937.220000,637.630000,6780,79033.850000,4594.150000,35815.880000,9806.310000,138.300000,28679.210000
201905,45399.220000,200704.500000,24937.220000,637.630000,6780,80046.730000,4603.750000,36089.120000,9806.310000,138.300000,29409.250000
201906,45399.220000,200749.500000,24937.220000,637.630000,6780,80467.192000,4604.802000,36368.470000,9806.310000,138.300000,29549.310000
201907,45399.220000,202069.500000,24937.220000,637.630000,6780,81307.612000,4604.802000,36686.820000,9806.310000,138.300000,30071.380000
201908,45399.220000,202529.500000,24937.220000,509.710000,6780,82014.187000,4608.807000,36750.420000,9806.310000,139.800000,30708.850000
201909,45399.220000,203154.500000,24937.220000,509.710000,6780,82588.950000,4610.810000,36930.320000,9806.310000,139.800000,31101.710000
201910,45399.220000,203954.500000,24937.220000,509.710000,6780,83379.497000,4647.107000,37090.020000,9806.310000,139.800000,31696.260000
201911,45399.220000,203954.500000,24937.220000,509.710000,6780,84399.900000,4647.560000,37278.680000,9806.310000,139.800000,32527.550000
201912,45399.220000,205254.500000,24937.220000,509.710000,6780,85908.407000,4671.557000,37505.180000,9861.310000,139.800000,33730.560000
202001,45399.220000,204724.500000,24955.360000,509.710000,6780,86321.027000,4676.557000,37607.700000,9861.310000,139.800000,34035.660000
202002,45699.220000,204724.500000,24955.360000,509.710000,6780,86759.185000,4683.155000,37669.250000,9861.310000,139.800000,34405.670000
202003,45699.220000,205344.500000,24955.360000,509.710000,6780,87027.675000,4683.155000,37693.750000,9875.310000,147.640000,34627.820000
202004,45699.220000,205134.500000,24955.360000,509.710000,6780,87268.740000,4683.160000,37745.850000,9880.310000,147.640000,34811.780000
202005,45699.220000,205134.500000,24991.510000,509.710000,6780,87384.015000,4683.155000,37756.350000,9880.310000,148.840000,34915.360000
202006,45699.220000,205404.500000,24991.510000,509.710000,6780,87669.185000,4688.155000,37829.550000,9880.310000,148.840000,35122.330000
202007,45699.220000,205954.500000,24991.510000,509.710000,6780,88041.910000,4712.170000,37940.950000,9936.650000,148.840000,35303.300000
202008,45699.220000,205954.500000,24956.510000,509.710000,6780,88793.425000,4739.965000,37999.550000,10145.920000,168.640000,35739.350000
202009,45699.220000,205854.500000,24956.510000,509.710000,6780,89229.415000,4739.965000,38124.150000,10145.920000,168.640000,36050.740000
202010,45699.220000,205854.500000,24956.510000,509.710000,6780,89635.645000,4740.465000,38263.050000,10145.920000,168.640000,36317.570000
202011,45699.220000,205854.500000,24956.510000,509.710000,6780,90399.105000,4740.465000,38433.550000,10145.920000,168.640000,36910.530000
202012,45798.220000,206124.500000,24956.510000,509.710000,6780,91153.805000,4750.455000,38624.150000,10145.920000,168.640000,37464.640000
202101,46059.220000,206404.500000,24956.510000,509.710000,6780,92550.735000,4758.455000,38683.650000,10145.920000,168.640000,38794.070000
202102,46209.220000,207704.500000,24956.510000,509.710000,6780,92970.475000,4783.055000,38789.150000,10145.920000,168.640000,39083.710000
202103,46209.220000,209294.500000,24924.010000,509.710000,6780,94433.785000,4786.805000,39247.050000,10145.920000,168.640000,40085.370000
202104,46209.220000,209294.500000,24924.010000,509.710000,6780,95012.590000,4786.810000,39410.450000,10145.920000,168.640000,40500.770000
202105,46209.220000,209294.500000,24924.010000,509.710000,6780,95656.245000,4786.805000,39442.250000,10170.920000,168.640000,41087.630000
202106,46322.220000,208624.500000,24924.010000,509.710000,6780,96955.510000,4793.810000,39486.650000,10170.920000,168.640000,42335.490000
202107,46367.220000,209424.500000,24924.010000,509.710000,6780,98882.715000,4794.605000,39588.850000,10170.920000,388.220000,43940.120000
202108,46412.220000,208824.500000,24924.010000,509.710000,6780,100683.315000,4807.805000,39691.150000,10170.610000,401.840000,45611.910000
202109,46512.220000,208614.500000,24899.510000,509.710000,6780,101532.845000,4809.805000,39870.450000,10175.610000,401.840000,46275.140000
202110,46512.220000,209034.500000,24899.510000,509.710000,6780,103055.245000,4821.805000,39990.100000,10175.610000,401.840000,47665.890000
202111,46512.220000,209284.500000,24899.510000,509.710000,6780,104031.305000,4831.345000,40033.600000,10175.610000,434.110000,48556.640000
202112,46512.220000,209809.500000,24899.510000,509.710000,6780,104878.530000,4839.400000,40082.700000,10175.610000,434.110000,49346.710000
202201,46512.220000,210519.500000,24899.510000,509.710000,6780,105854.125000,4839.895000,40100.930000,10175.610000,434.110000,50303.580000
202202,46524.520000,210519.500000,24899.510000,509.710000,6780,106374.625000,4839.895000,40129.780000,10175.610000,451.570000,50777.770000
202203,46722.520000,210699.500000,24899.510000,509.710000,6780,109885.375000,4848.895000,40357.580000,10205.610000,476.750000,53996.540000
202204,46722.520000,210699.500000,24899.510000,509.710000,6780,111398.995000,4850.895000,40528.080000,10205.610000,476.750000,55337.660000
202205,46722.520000,210699.500000,24879.210000,509.710000,6780,113226.465000,4886.395000,40706.380000,10205.610000,476.750000,56951.330000
202206,46850.170000,210699.500000,24856.210000,509.710000,6780,114064.010000,4887.900000,40788.030000,,,57705.720000
202207,46850.170000,210699.500000,24856.210000,509.710000,6780,114437.390000,4887.900000,40893.330000,10205.610000,476.750000,57973.800000
202208,46850.170000,210699.500000,24856.210000,509.710000,6780,116077.640000,4887.900000,41204.680000,10205.610000,476.750000,59302.700000
202209,46850.170000,210699.500000,24824.210000,562.370000,6780,118080.350000,4899.500000,41666.080000,10205.610000,495.230000,60813.930000
202210,46850.170000,210605.500000,24824.210000,562.370000,6780,119092.590000,4923.500000,41843.980000,10205.610000,495.230000,61624.270000
202211,46850.170000,210605.500000,24824.210000,589.200000,6780,119512.170000,4924.650000,41895.280000,10205.610000,520.230000,61966.400000
202212,46850.170000,210395.500000,24824.210000,589.200000,6780,120848.290000,4924.650000,41895.280000,10205.610000,520.230000,63302.520000
202301,46850.170000,211055.500000,24824.210000,589.200000,6780,121549.540000,4939.650000,41983.180000,10209.810000,523.050000,63893.850000
202302,46850.170000,211055.500000,24824.210000,589.200000,6780,122113.080000,4943.100000,42015.380000,10217.510000,556.390000,64380.700000
202303,46850.170000,211855.500000,24824.210000,589.200000,6780,125159.830000,4944.300000,42633.130000,10248.010000,554.030000,66780.360000
202304,46850.170000,211855.500000,24824.210000,589.200000,6780,125692.330000,4944.300000,42868.080000,10248.010000,554.030000,67077.910000
202305,46850.170000,211855.500000,24824.210000,589.200000,6780,126769.040000,4944.300000,43198.980000,10248.010000,556.530000,67821.220000
202306,46850.170000,212515.500000,24824.210000,589.200000,7480,129642.550000,4959.050000,43773.080000,10248.010000,565.580000,70096.830000
202307,46850.170000,212515.500000,25038.210000,589.200000,7480,130886.230000,4982.750000,43940.080000,10248.010000,570.380000,71145.010000
202308,46850.170000,212815.500000,25038.210000,589.200000,7480,131514.620000,4982.750000,44089.680000,10261.810000,570.380000,71610
202309,46850.170000,213665.500000,25038.210000,589.200000,7480,131783.390000,4982.750000,44184.630000,10261.810000,573.460000,71780.740000
202310,46850.170000,213445.500000,25038.210000,589.200000,7480,132132.440000,4986.750000,44292.380000,10261.810000,573.460000,72018.040000
202311,46880.170000,213445.500000,25038.210000,589.200000,7480,132698.520000,4986.750000,44563.680000,10261.810000,574.560000,72311.720000
202312,46910.170000,214395.500000,25038.210000,589.200000,7480,133886.180000,4986.750000,44736.240000,10261.810000,582.890000,73318.490000
202401,46928.170000,214809.510000,25038.210000,589.200000,7480,135116.360000,4994.750000,44969.230000,10261.810000,584.050000,74306.520000
202402,46928.170000,217589.510000,25038.210000,589.200000,7480,136570.090000,4994.750000,45153.670000,10261.810000,584.050000,75575.810000
202403,46928.170000,217589.510000,25038.210000,589.200000,8180,143644.510000,5003.250000,45886.510000,10355.350000,585.800000,81813.600000
202404,46928.170000,217589.510000,24818.210000,589.200000,8180,144751.550000,5005.250000,46161.790000,10355.350000,591.300000,82637.860000
202405,46928.170000,217589.510000,24818.210000,589.200000,8180,146651.790000,5005.250000,46422.470000,10355.350000,591.300000,84277.420000
202406,46928.170000,217589.510000,24818.210000,589.200000,8180,148084.640000,5005.250000,46656.370000,10355.350000,593.360000,85474.310000
202407,46928.170000,217589.510000,24818.210000,589.200000,8180,150276.360000,5036.750000,47075.430000,10355.350000,600.860000,87207.970000
202408,46928.170000,217589.510000,24818.210000,589.200000,8180,152654.480000,5070.750000,47192.330000,10355.350000,604.070000,89431.980000
202409,46928.170000,217649.510000,24818.210000,589.200000,8180,154529.740000,5075.750000,47362.920000,10724.460000,604.490000,90762.120000
202410,46968.170000,217649.510000,24818.210000,589.200000,8180,156247.100000,5077.250000,47716.720000,10728.210000,605.740000,92119.180000
202411,46968.170000,217649.510000,24818.210000,589.200000,8180,158552.410000,5084.250000,47959.130000,10728.210000,612.990000,94167.830000
202412,46968.170000,219033.010000,24818.210000,589.200000,8180,162476.580000,5100.550000,48163.160000,10728.210000,619.940000,97864.720000
202501,46968.170000,220493.010000,24818.210000,589.200000,8180,165202.210000,5100.550000,48365.260000,10743.110000,663.460000,100329.830000
202502,46968.170000,221813.010000,25188.260000,589.200000,8180,167709.530000,5100.550000,48588.560000,10743.110000,711.290000,102566.020000
202503,47728.160000,221813.010000,24533.260000,589.200000,8180,172368.180000,5100.550000,50037.820000,10743.110000,840.210000,105646.490000
202504,47928.160000,219338.010000,20132.410000,589.200000,8780,175700.230000,5102.050000,51058.550000,10743.110000,850.910000,107945.610000
202505,47928.160000,219338.010000,20132.410000,589.200000,8780,178822.600000,5102.050000,51292.250000,10743.110000,850.910000,110834.280000
202506,49378.160000,221318.010000,20132.410000,589.200000,8780,184621.040000,5102.050000,51674.850000,10743.110000,853.200000,116247.830000
202507,49628.160000,223068.010000,20132.410000,589.200000,8780,187862.910000,5108.710000,52140.100000,,854.450000,119016.540000
202508,50108.160000,223418.010000,20132.410000,589.200000,8780,192517.600000,5108.710000,52681.200000,,854.450000,123130.130000
202509,50108.160000,224078.010000,20132.410000,589.200000,8780,197201.460000,5133.610000,53123.800000,,854.450000,127332.290000
202510,50348.160000,224878.010000,20132.410000,589.200000,8780,200295.280000,5158.610000,53599.920000,,855.620000,129923.820000
202511,,,,,,,5158.610000,53986.020000,,856.620000,132848.250000
