"YYYYMM","Linkage","Domestic"
80926,5.248410,
80927,5.269290,
80928,5.256080,
80929,5.246370,
80930,5.392420,
81001,5.433290,
81002,5.222990,
81003,5.196990,
81004,5.108410,
81005,5.139950,
81006,5.109270,
81007,4.865700,
81008,4.870640,
81009,4.976670,
81010,4.964210,
81011,4.902610,
81012,4.898768,
81013,4.897479,
81014,4.893370,
81015,4.513390,
81016,4.251110,
81017,4.461940,
81018,4.657380,
81019,4.922060,
81020,4.884378,
81021,4.828700,
81022,4.798280,
81023,4.845340,
81024,4.879380,
81025,4.898250,
81026,4.930070,
81027,4.973920,
81028,4.882930,
81029,4.854390,
81030,4.778270,
81031,4.597260,
81101,4.533800,
81102,4.433690,
81103,4.699050,
81104,4.593380,
81105,4.679180,
81106,4.701270,
81107,4.718400,
81108,4.796880,
81109,5.037360,
81110,4.897920,
81111,4.863860,
81112,4.900890,
81113,5.085020,
81114,5.070210,
81115,5.095650,
81116,4.990600,
81117,5.053760,
81118,5.094860,
81119,5.152330,
81120,5.280120,
81121,5.295300,
81122,5.274010,
81123,5.260280,
81124,5.228970,
81125,5.257420,
81126,5.266360,
81127,5.230420,
81128,5.288850,
81129,5.293630,
81130,5.273280,
81201,5.193900,
81202,5.213260,
81203,5.230330,
81204,5.277850,
81205,5.263090,
81206,5.268380,
81207,5.319110,
81208,5.271320,
81209,5.269970,
81210,5.286450,
81211,5.356070,
81212,5.388230,
81213,5.396430,
81214,5.551760,
81215,5.605960,
81216,5.634330,
81217,5.720470,
81218,5.766290,
81219,5.779480,
81220,5.774240,
81221,5.863820,
81222,5.884800,
81223,5.926190,
81224,5.965660,
81225,6.048900,
81226,6.069790,
81227,6.107150,
81228,6.195820,
81229,6.276100,
81230,6.354360,
81231,6.537480,
90101,6.604710,
90102,6.646660,
90103,6.667290,
90104,6.653410,
90105,6.758000,
90106,6.875910,
90107,6.911190,
90108,6.902130,
90109,6.913630,
90110,6.941500,
90111,6.931210,
90112,6.997700,
90113,7.051430,
90114,7.093120,
90115,7.177690,
90116,7.161820,
90117,7.260500,
90118,7.364380,
90119,7.349440,
90120,7.443770,
90121,7.445200,
90122,7.468750,
90123,7.442050,
90124,7.401740,
90125,7.459300,
90126,7.663800,
90127,7.680500,
90128,7.718120,
90129,7.760240,
90130,7.760020,
90131,7.868490,
90201,7.819600,
90202,7.874500,
90203,7.890020,
90204,7.842660,
90205,7.836660,
90206,7.940040,
90207,7.938230,
90208,8.022590,
90209,8.044650,
90210,8.102880,
90211,8.064590,
90212,8.092450,
90213,8.185990,
90214,8.234800,
90215,8.327790,
90216,8.410480,
90217,8.417590,
90218,8.439130,
90219,8.496210,
90220,8.471110,
90221,8.499330,
90222,8.561270,
90223,8.526180,
90224,8.611300,
90225,8.695530,
90226,8.694270,
90227,8.763460,
90228,8.799010,
90301,8.928640,
90302,8.944570,
90303,9.222360,
90304,9.334260,
90305,9.416800,
90306,9.476950,
90307,9.731390,
90308,9.559670,
90309,9.723420,
90310,9.786100,
90311,9.705320,
90312,9.662590,
90313,9.566510,
90314,9.666100,
90315,9.713780,
90316,9.846030,
90317,9.892280,
90318,9.943610,
90319,10.022040,
90320,10.079060,
90321,10.206490,
90322,10.350580,
90323,10.404450,
90324,10.469820,
90325,10.546800,
90326,10.624000,
90327,10.767340,
90328,10.835610,
90329,10.961890,
90330,11.180920,
90331,11.293400,
90401,11.157550,
90402,11.290160,
90403,11.324690,
90404,11.284280,
90405,11.305430,
90406,11.255110,
90407,11.254490,
90408,11.215360,
90409,11.207750,
90410,11.057220,
90411,11.037740,
90412,11.228260,
90413,11.349280,
90414,11.397090,
90415,11.367020,
90416,11.301550,
90417,11.245920,
90418,11.187720,
90419,11.115260,
90420,11.019110,
90421,11.030000,
90422,11.008180,
90423,10.975580,
90424,11.007390,
90425,10.949240,
90426,11.014100,
90427,10.994770,
90428,10.915710,
90429,10.865800,
90430,10.935540,
90501,10.896870,
90502,10.848980,
90503,10.779850,
90504,10.637410,
90505,10.570160,
90506,10.515810,
90507,10.460250,
90508,10.394750,
90509,10.340300,
90510,10.341120,
90511,10.286980,
90512,10.211360,
90513,10.249690,
90514,10.242190,
90515,10.270650,
90516,10.288480,
90517,10.302880,
90518,10.266060,
90519,10.257570,
90520,10.279680,
90521,10.302280,
90522,10.306330,
90523,10.331590,
90524,10.415130,
90525,10.580070,
90526,10.560430,
90527,10.587520,
90528,10.547330,
90529,10.547640,
90530,10.505510,
90531,10.592930,
90601,10.619270,
90602,10.541740,
90603,10.486020,
90604,10.526520,
90605,10.489140,
90606,10.514720,
90607,10.622810,
90608,10.605430,
90609,10.670260,
90610,10.737920,
90611,10.854400,
90612,10.894606,
90613,10.918730,
90614,10.936465,
90615,10.957501,
90616,10.991530,
90617,11.061980,
90618,10.975400,
90619,10.955740,
90620,10.926800,
90621,10.980070,
90622,10.987890,
90623,10.965810,
90624,10.968250,
90625,10.928460,
90626,10.950190,
90627,10.981750,
90628,10.999720,
90629,11.062260,
90630,11.073280,
90701,11.016500,
90702,11.035960,
90703,11.038740,
90704,11.095010,
90705,11.193780,
90706,11.049490,
90707,11.111810,
90708,11.104920,
90709,11.051370,
90710,10.951790,
90711,10.941630,
90712,10.869920,
90713,10.853040,
90714,10.791870,
90715,10.805830,
90716,10.618600,
90717,10.599730,
90718,10.690220,
90719,10.688710,
90720,10.558570,
90721,10.486890,
90722,10.443130,
90723,10.396050,
90724,10.215150,
90725,10.120670,
90726,10.256390,
90727,10.150890,
90728,10.183560,
90729,10.224150,
90730,10.285360,
90731,10.326930,
90801,10.388670,
90802,10.325940,
90803,10.412020,
90804,10.335770,
90805,10.374050,
90806,10.370410,
90807,10.408020,
90808,10.425910,
90809,10.443660,
90810,10.423090,
90811,10.473340,
90812,10.487800,
90813,10.357380,
90814,10.306120,
90815,10.231470,
90816,10.213420,
90817,10.161380,
90818,10.055860,
90819,10.058060,
90820,10.013970,
90821,9.844989,
90822,9.708250,
90823,9.973600,
90824,9.950490,
90825,9.907710,
90826,9.917860,
90827,9.818020,
90828,9.731520,
90829,9.688190,
90830,9.649000,
90831,9.589110,
90901,9.530130,
90902,9.493360,
90903,9.249790,
90904,9.248830,
90905,9.346780,
90906,9.378980,
90907,9.345090,
90908,9.252560,
90909,9.208390,
90910,9.175270,
90911,9.217970,
90912,9.223820,
90913,9.219380,
90914,9.236640,
90915,9.306340,
90916,9.274650,
90917,9.221230,
90918,9.223007,
90919,9.226915,
90920,9.230823,
90921,9.232600,
90922,9.201670,
90923,9.219400,
90924,9.262080,
90925,9.294520,
90926,9.275610,
90927,9.371520,
90928,9.333750,
90929,9.309670,
90930,9.256220,
91001,9.233890,
91002,9.147630,
91003,8.988510,
91004,9.107370,
91005,9.122880,
91006,9.096770,
91007,9.143580,
91008,9.219360,
91009,9.033850,
91010,8.848340,
91011,9.197860,
91012,9.157440,
91013,9.084520,
91014,8.997370,
91015,8.985610,
91016,8.986740,
91017,8.892080,
91018,8.876670,
91019,8.820810,
91020,8.857340,
91021,8.879320,
91022,8.912270,
91023,8.970860,
91024,9.059900,
91025,9.143270,
91026,9.170630,
91027,9.223240,
91028,9.258280,
91029,9.283950,
91030,9.517680,
91031,9.334090,
91101,9.303441,
91102,9.289170,
91103,9.281290,
91104,9.291540,
91105,9.344380,
91106,9.410100,
91107,9.402460,
91108,9.483080,
91109,9.470040,
91110,9.529810,
91111,9.577180,
91112,9.631310,
91113,9.735620,
91114,9.789020,
91115,9.857170,
91116,9.980520,
91117,9.978270,
91118,10.063410,
91119,10.024930,
91120,10.099210,
91121,9.960450,
91122,10.294810,
91123,10.377570,
91124,10.426500,
91125,10.469550,
91126,10.535430,
91127,10.574220,
91128,10.577240,
91129,10.579630,
91130,10.652940,
91201,10.626920,
91202,10.666070,
91203,10.683550,
91204,10.765540,
91205,10.762440,
91206,10.886020,
91207,10.896290,
91208,10.884170,
91209,10.823660,
91210,10.845020,
91211,10.864740,
91212,10.902440,
91213,11.039910,
91214,11.092520,
91215,11.096160,
91216,11.087160,
91217,11.075200,
91218,11.101370,
91219,11.143590,
91220,11.161940,
91221,11.202830,
91222,11.227140,
91223,11.244040,
91224,11.288960,
91225,11.284320,
91226,11.308210,
91227,11.336840,
91228,11.467810,
91229,11.486140,
91230,11.453740,
91231,11.484870,
100101,11.497302,
100102,11.505263,
100103,11.520990,
100104,11.597670,
100105,11.540180,
100106,11.503130,
100107,11.480470,
100108,11.499140,
100109,11.659060,
100110,11.756230,
100111,11.827970,
100112,11.953440,
100113,12.007380,
100114,12.001400,
100115,12.038551,
100116,12.119745,
100117,12.199590,
100118,12.262260,
100119,12.335600,
100120,12.391440,
100121,12.399400,
100122,12.416580,
100123,12.436930,
100124,12.510770,
100125,12.538630,
100126,12.739190,
100127,12.761330,
100128,12.837600,
100129,12.900420,
100130,12.966230,
100131,12.957220,
100201,12.934570,
100202,13.036490,
100203,13.129420,
100204,13.092160,
100205,13.066140,
100206,13.169970,
100207,13.134550,
100208,13.111490,
100209,13.137760,
100210,13.113320,
100211,12.915790,
100212,12.751000,
100213,12.838030,
100214,13.049560,
100215,13.018790,
100216,13.093580,
100217,13.038970,
100218,13.033910,
100219,13.064110,
100220,13.113600,
100221,13.234270,
100222,13.304420,
100223,13.318770,
100224,13.319820,
100225,13.333100,
100226,13.289020,
100227,13.115100,
100228,13.251590,
100301,13.144410,
100302,13.083110,
100303,13.019030,
100304,13.009560,
100305,13.017020,
100306,13.067270,
100307,13.128750,
100308,13.190160,
100309,13.279030,
100310,13.291900,
100311,13.298900,
100312,13.336350,
100313,13.388046,
100314,13.444630,
100315,13.497050,
100316,13.489140,
100317,13.541900,
100318,13.688170,
100319,13.741310,
100320,13.624260,
100321,13.755140,
100322,13.606200,
100323,13.772690,
100324,13.844790,
100325,13.839040,
100326,13.870160,
100327,13.893760,
100328,14.037230,
100329,14.045750,
100330,14.047430,
100331,14.169470,
100401,13.761950,
100402,13.773170,
100403,14.091113,
100404,14.399240,
100405,14.388210,
100406,14.389210,
100407,14.328380,
100408,14.294770,
100409,14.343090,
100410,14.313840,
100411,14.307160,
100412,14.190420,
100413,14.148760,
100414,14.069560,
100415,14.123930,
100416,14.109490,
100417,14.079460,
100418,14.086810,
100419,14.094280,
100420,14.011140,
100421,13.928180,
100422,13.905070,
100423,13.891270,
100424,13.868240,
100425,13.953810,
100426,13.994080,
100427,13.925220,
100428,13.899180,
100429,13.884820,
100430,13.893300,
100501,13.849341,
100502,13.793480,
100503,13.776700,
100504,13.745180,
100505,13.649960,
100506,13.596980,
100507,13.483340,
100508,13.469830,
100509,13.480300,
100510,13.468470,
100511,13.431680,
100512,13.364020,
100513,13.289530,
100514,13.319030,
100515,13.300070,
100516,13.280550,
100517,13.177170,
100518,13.122680,
100519,12.921010,
100520,12.945320,
100521,12.841440,
100522,12.780520,
100523,12.753300,
100524,12.735070,
100525,12.733630,
100526,12.616830,
100527,12.654650,
100528,12.649960,
100529,12.617170,
100530,12.616520,
100531,12.647160,
100601,12.602180,
100602,12.604600,
100603,12.486130,
100604,12.473990,
100605,12.471170,
100606,12.406030,
100607,12.431610,
100608,12.131380,
100609,12.309330,
100610,12.487280,
100611,12.325390,
100612,12.417720,
100613,12.529030,
100614,12.468060,
100615,12.439850,
100616,12.380410,
100617,12.384540,
100618,12.500390,
100619,12.389430,
100620,12.484280,
100621,12.465210,
100622,12.377090,
100623,12.332370,
100624,12.369270,
100625,12.344960,
100626,12.367420,
100627,12.443590,
100628,12.451740,
100629,12.442490,
100630,12.358650,
100701,12.270680,
100702,12.241300,
100703,12.168610,
100704,12.194180,
100705,12.171770,
100706,12.176060,
100707,12.149960,
100708,12.131470,
100709,12.111150,
100710,12.025750,
100711,11.950280,
100712,11.868050,
100713,11.852580,
100714,11.764060,
100715,11.754900,
100716,11.716690,
100717,11.712950,
100718,11.678840,
100719,11.663750,
100720,11.607540,
100721,11.656410,
100722,11.674870,
100723,11.694520,
100724,11.687870,
100725,11.693780,
100726,11.683180,
100727,11.645010,
100728,11.594980,
100729,11.543170,
100730,11.522140,
100731,11.520970,
100801,11.472650,
100802,11.438797,
100803,11.422130,
100804,11.574570,
100805,11.324950,
100806,11.296454,
100807,11.276450,
100808,11.234510,
100809,11.205850,
100810,11.541360,
100811,11.524580,
100812,11.401450,
100813,11.333350,
100814,11.504480,
100815,11.530620,
100816,11.564990,
100817,11.522830,
100818,11.515290,
100819,11.496920,
100820,11.522050,
100821,11.397140,
100822,11.535680,
100823,11.567250,
100824,11.428830,
100825,11.667360,
100826,11.770200,
100827,11.773610,
100828,11.768560,
100829,11.862690,
100830,11.784100,
100831,11.847450,
100901,11.955160,
100902,11.971240,
100903,12.004960,
100904,11.830750,
100905,11.949100,
100906,12.071220,
100907,12.083680,
100908,12.131810,
100909,12.086150,
100910,12.143480,
100911,12.191000,
100912,12.289750,
100913,12.362120,
100914,12.455380,
100915,12.507220,
100916,12.483640,
100917,12.459270,
100918,12.457840,
100919,12.396610,
100920,12.406440,
100921,12.419820,
100922,12.414750,
100923,12.489930,
100924,12.540360,
100925,12.663320,
100926,12.780550,
100927,12.889500,
100928,12.939560,
100929,12.914250,
100930,12.828470,
101001,12.922740,
101002,12.976780,
101003,12.940860,
101004,12.971770,
101005,12.943140,
101006,12.884460,
101007,12.729070,
101008,12.930220,
101009,12.898430,
101010,12.966560,
101011,12.886650,
101012,12.818940,
101013,12.803459,
101014,12.788520,
101015,12.685055,
101016,12.519764,
101017,12.433390,
101018,12.496950,
101019,12.361280,
101020,12.270380,
101021,12.160750,
101022,12.039030,
101023,11.986410,
101024,11.964640,
101025,12.023700,
101026,12.015570,
101027,12.030560,
101028,12.123090,
101029,12.081650,
101030,12.082880,
101031,12.049460,
101101,12.063550,
101102,11.844670,
101103,11.753060,
101104,11.727541,
101105,11.714000,
101106,11.701786,
101107,11.680250,
101108,11.628710,
101109,11.573800,
101110,11.534130,
101111,11.488990,
101112,11.512520,
101113,11.565827,
101114,11.622990,
101115,11.678580,
101116,11.695980,
101117,11.718250,
101118,11.707810,
101119,11.808350,
101120,11.772830,
101121,11.858950,
101122,11.897070,
101123,11.945320,
101124,12.006550,
101125,12.093700,
101126,12.154280,
101127,12.223350,
101128,12.300800,
101129,12.345860,
101130,12.408200,
101201,12.350720,
101202,12.445970,
101203,12.559670,
101204,12.628340,
101205,12.785600,
101206,12.770330,
101207,12.840120,
101208,12.807380,
101209,12.799260,
101210,12.860910,
101211,12.835970,
101212,12.835660,
101213,12.827570,
101214,12.802860,
101215,12.725990,
101216,12.711740,
101217,12.588040,
101218,12.672880,
101219,12.746130,
101220,12.683970,
101221,12.742880,
101222,12.727070,
101223,12.656820,
101224,12.648660,
101225,12.639060,
101226,12.613250,
101227,12.603790,
101228,12.636930,
101229,12.737680,
101230,12.794950,
101231,12.855360,
110101,12.561230,
110102,12.928480,
110103,12.975520,
110104,13.002410,
110105,13.019700,
110106,13.067470,
110107,13.022020,
110108,13.125680,
110109,13.234280,
110110,13.018480,
110111,12.918670,
110112,12.819480,
110113,12.797530,
110114,12.836750,
110115,12.868680,
110116,12.897980,
110117,13.056890,
110118,12.950090,
110119,12.899140,
110120,12.918930,
110121,12.933110,
110122,12.873060,
110123,12.886910,
110124,12.912890,
110125,12.981560,
110126,13.110820,
110127,13.178020,
110128,13.192840,
110129,13.137350,
110130,13.100400,
110131,13.144800,
110201,13.059140,
110202,13.094260,
110203,13.086370,
110204,13.086360,
110205,13.044180,
110206,13.038290,
110207,13.036500,
110208,12.996620,
110209,13.044370,
110210,13.031690,
110211,12.993120,
110212,12.980030,
110213,12.981250,
110214,12.985350,
110215,13.023980,
110216,13.038590,
110217,13.063870,
110218,13.062790,
110219,13.031010,
110220,13.108490,
110221,13.009230,
110222,13.096260,
110223,13.028070,
110224,13.083350,
110225,13.115530,
110226,13.102570,
110227,13.222810,
110228,13.221260,
110301,13.518060,
110302,13.525530,
110303,13.616920,
110304,13.578600,
110305,13.646930,
110306,13.646160,
110307,13.602330,
110308,13.656370,
110309,13.696040,
110310,13.852830,
110311,13.801010,
110312,13.789550,
110313,13.853060,
110314,13.984130,
110315,14.024050,
110316,14.092190,
110317,14.206660,
110318,14.256710,
110319,14.270950,
110320,14.198720,
110321,14.291040,
110322,14.300650,
110323,14.582800,
110324,14.654790,
110325,14.728680,
110326,14.728900,
110327,14.947870,
110328,14.973330,
110329,15.010630,
110330,15.194250,
110331,15.165480,
110401,15.048980,
110402,15.171870,
110403,15.277500,
110404,15.328770,
110405,15.352760,
110406,15.335300,
110407,15.357530,
110408,15.292340,
110409,14.986440,
110410,14.994710,
110411,15.034810,
110412,15.000930,
110413,15.274700,
110414,14.976620,
110415,14.944640,
110416,14.915450,
110417,14.992030,
110418,14.987800,
110419,15.068650,
110420,15.084730,
110421,15.129890,
110422,15.188810,
110423,15.268880,
110424,15.239910,
110425,15.304030,
110426,15.330450,
110427,15.298940,
110428,15.434580,
110429,15.379220,
110430,15.349070,
110501,15.383010,
110502,15.328650,
110503,15.271070,
110504,15.149080,
110505,15.013870,
110506,14.888090,
110507,14.900580,
110508,14.862120,
110509,14.855780,
110510,14.850600,
110511,14.717590,
110512,14.638470,
110513,14.530260,
110514,14.442670,
110515,14.573390,
110516,14.484390,
110517,14.254990,
110518,14.266750,
110519,14.187360,
110520,14.144690,
110521,14.096730,
110522,14.263800,
110523,14.115820,
110524,14.063370,
110525,14.040390,
110526,14.144990,
110527,14.140770,
110528,14.138760,
110529,14.187730,
110530,14.175670,
110531,14.054580,
110601,14.091630,
110602,14.185860,
110603,14.163312,
110604,14.121438,
110605,14.098890,
110606,14.105900,
110607,14.077320,
110608,14.105420,
110609,14.196860,
110610,14.219380,
110611,14.235840,
110612,14.287620,
110613,14.283980,
110614,14.386020,
110615,14.178330,
110616,14.222100,
110617,14.227820,
110618,14.187650,
110619,14.151160,
110620,14.067630,
110621,13.923190,
110622,13.815100,
110623,13.743890,
110624,13.710240,
110625,13.817740,
110626,13.766920,
110627,13.571870,
110628,13.523470,
110629,13.611120,
110630,13.649600,
110701,13.738370,
110702,13.672930,
110703,13.635270,
110704,13.519780,
110705,13.504750,
110706,13.492890,
110707,13.481640,
110708,13.450733,
110709,13.409378,
110710,13.388680,
110711,13.629750,
110712,13.617470,
110713,13.702790,
110714,13.712120,
110715,13.519590,
110716,13.578580,
110717,13.615970,
110718,13.601570,
110719,13.644940,
110720,13.564280,
110721,13.538920,
110722,13.514550,
110723,13.483310,
110724,13.476380,
110725,13.459510,
110726,13.355210,
110727,13.335060,
110728,13.332750,
110729,13.209990,
110730,13.142020,
110731,13.057450,
110801,13.043930,
110802,13.050810,
110803,12.969870,
110804,12.714730,
110805,13.021530,
110806,12.959920,
110807,12.980170,
110808,12.898940,
110809,12.829470,
110810,12.861590,
110811,12.810410,
110812,12.798290,
110813,12.746680,
110814,12.620450,
110815,12.698660,
110816,12.747840,
110817,12.711610,
110818,12.585970,
110819,12.500240,
110820,12.442010,
110821,12.443660,
110822,12.376500,
110823,12.210950,
110824,12.258320,
110825,12.216270,
110826,12.193390,
110827,12.172440,
110828,12.226420,
110829,12.210730,
110830,12.129530,
110831,12.048990,
110901,12.163910,
110902,12.165820,
110903,12.099640,
110904,12.113310,
110905,12.146920,
110906,12.121900,
110907,12.104000,
110908,12.174930,
110909,12.103200,
110910,12.104350,
110911,12.168140,
110912,12.136380,
110913,11.942470,
110914,11.963480,
110915,11.945200,
110916,11.886860,
110917,11.893510,
110918,11.858650,
110919,11.878310,
110920,11.738190,
110921,11.962930,
110922,11.762520,
110923,11.617575,
110924,11.495862,
110925,11.384650,
110926,11.283480,
110927,11.140406,
110928,11.024890,
110929,10.985610,
110930,10.884860,
111001,10.778640,
111002,10.698360,
111003,10.674700,
111004,10.524850,
111005,10.412690,
111006,10.168060,
111007,9.999220,
111008,9.906820,
111009,9.557790,
111010,9.550300,
111011,9.360220,
111012,9.241390,
111013,9.042680,
111014,8.858010,
111015,8.789790,
111016,8.847900,
111017,8.670800,
111018,8.416090,
111019,8.550900,
111020,8.537580,
111021,8.442980,
111022,8.454680,
111023,8.403210,
111024,8.223920,
111025,8.194995,
111026,8.170700,
111027,8.097070,
111028,8.110450,
111029,8.218276,
111030,8.315200,
111031,8.199220,
111101,8.062730,
111102,7.866330,
111103,7.830710,
111104,7.773560,
111105,7.712300,
111106,7.662760,
111107,7.617220,
111108,7.592290,
111109,7.623120,
111110,7.633610,
111111,7.614530,
111112,7.596380,
111113,7.569610,
111114,7.470510,
111115,7.506135,
111116,7.541760,
111117,7.525040,
111118,7.318450,
111119,7.397946,
111120,7.524260,
111121,7.611600,
111122,7.685840,
111123,7.715740,
111124,7.795130,
111125,7.851150,
111126,7.647070,
111127,7.689960,
111128,7.719780,
111129,7.951020,
111130,8.039620,
111201,8.041860,
111202,7.894260,
111203,7.854540,
111204,8.003930,
111205,8.063690,
111206,8.245080,
111207,8.285870,
111208,8.236210,
111209,8.120700,
111210,8.256990,
111211,8.374000,
111212,8.307150,
111213,8.285450,
111214,8.324390,
111215,8.337500,
111216,8.382430,
111217,8.461070,
111218,8.437420,
111219,8.410650,
111220,8.387110,
111221,8.385970,
111222,8.445230,
111223,8.377420,
111224,8.406650,
111225,8.429470,
111226,8.365230,
111227,8.456550,
111228,8.417850,
111229,8.485680,
111230,8.482370,
111231,8.494730,
120101,8.432760,
120102,8.347170,
120103,8.356340,
120104,8.361600,
120105,8.417910,
120106,8.424726,
120107,8.426930,
120108,8.419870,
120109,8.555050,
120110,8.582530,
120111,8.805350,
120112,8.799790,
120113,8.920930,
120114,9.014050,
120115,9.094940,
120116,9.159170,
120117,9.187490,
120118,9.215850,
120119,9.187100,
120120,9.158350,
120121,9.212260,
120122,9.245160,
120123,9.370940,
120124,9.421230,
120125,9.329050,
120126,9.598700,
120127,9.676940,
120128,9.723200,
120129,9.679390,
120130,9.735950,
120131,9.789260,
120201,9.832220,
120202,9.880250,
120203,9.896260,
120204,9.954890,
120205,10.093390,
120206,10.141910,
120207,10.192340,
120208,10.260800,
120209,10.271360,
120210,10.322550,
120211,10.362700,
120212,10.406810,
120213,10.462930,
120214,10.485280,
120215,10.564650,
120216,10.623850,
120217,10.310660,
120218,10.266650,
120219,10.433590,
120220,10.870730,
120221,10.989240,
120222,11.073540,
120223,11.331180,
120224,11.350330,
120225,11.401250,
120226,11.496950,
120227,11.538650,
120228,11.629710,
120229,11.693040,
120301,11.777230,
120302,11.899220,
120303,11.989030,
120304,12.053080,
120305,12.107960,
120306,12.159630,
120307,12.250225,
120308,12.310760,
120309,12.276370,
120310,12.246510,
120311,12.280700,
120312,12.339020,
120313,12.464010,
120314,12.663390,
120315,12.839520,
120316,12.868410,
120317,12.695200,
120318,13.013870,
120319,13.041410,
120320,13.170490,
120321,13.271130,
120322,13.388840,
120323,13.568740,
120324,13.746110,
120325,13.882700,
120326,13.995030,
120327,14.029360,
120328,14.178690,
120329,14.331620,
120330,14.379570,
120331,14.431880,
120401,14.694940,
120402,14.619680,
120403,14.674910,
120404,14.652280,
120405,14.668060,
120406,14.683080,
120407,14.610633,
120408,14.476087,
120409,14.403640,
120410,14.453220,
120411,14.477320,
120412,14.475830,
120413,14.605020,
120414,14.627500,
120415,14.783390,
120416,14.863460,
120417,14.813950,
120418,14.836330,
120419,14.874960,
120420,14.825550,
120421,14.786510,
120422,14.810880,
120423,14.739760,
120424,14.697140,
120425,14.675180,
120426,14.749140,
120427,14.748000,
120428,14.758950,
120429,14.836130,
120430,14.837640,
120501,14.855260,
120502,14.735200,
120503,14.702670,
120504,14.669120,
120505,14.639330,
120506,14.632620,
120507,14.559450,
120508,14.568750,
120509,14.499940,
120510,14.426150,
120511,14.415050,
120512,14.481240,
120513,14.528750,
120514,14.551550,
120515,14.482250,
120516,14.609160,
120517,14.588400,
120518,14.493860,
120519,14.410180,
120520,14.444240,
120521,14.405800,
120522,14.334170,
120523,14.276770,
120524,14.171250,
120525,14.071030,
120526,13.975420,
120527,13.923090,
120528,13.915700,
120529,13.871180,
120530,13.871970,
120531,13.518950,
120601,13.310280,
120602,13.244530,
120603,13.244130,
120604,13.143390,
120605,13.061980,
120606,12.885960,
120607,12.771290,
120608,12.726160,
120609,12.686973,
120610,12.666210,
120611,12.716890,
120612,12.528670,
120613,12.765880,
120614,12.703390,
120615,12.672910,
120616,12.654160,
120617,12.669450,
120618,12.578310,
120619,12.501810,
120620,12.488090,
120621,12.504550,
120622,12.542800,
120623,12.551970,
120624,12.476160,
120625,12.378090,
120626,12.379370,
120627,12.348700,
120628,12.307870,
120629,12.224830,
120630,12.210811,
120701,12.200760,
120702,12.182110,
120703,12.171190,
120704,12.111190,
120705,12.093600,
120706,11.992450,
120707,12.008660,
120708,11.934970,
120709,11.802090,
120710,11.766420,
120711,11.709810,
120712,11.701560,
120713,11.735870,
120714,11.798830,
120715,11.673610,
120716,11.571580,
120717,11.458660,
120718,11.308240,
120719,11.221830,
120720,11.154480,
120721,11.182920,
120722,11.101420,
120723,11.038350,
120724,11.138070,
120725,10.908640,
120726,10.856040,
120727,10.801760,
120728,10.717250,
120729,10.699810,
120730,10.688710,
120731,10.699940,
120801,10.622450,
120802,10.567580,
120803,10.540230,
120804,10.432870,
120805,10.356630,
120806,10.233880,
120807,10.143870,
120808,10.172430,
120809,9.996470,
120810,9.995750,
120811,9.931450,
120812,9.900240,
120813,9.904180,
120814,9.889690,
120815,9.906150,
120816,9.765840,
120817,9.755200,
120818,9.650570,
120819,9.577530,
120820,9.513780,
120821,9.441620,
120822,9.370430,
