"yymmdd","Raw","Processed"
80326,"NaN","NaN"
80327,"NaN","NaN"
80328,"NaN","NaN"
80329,"NaN","NaN"
80330,"NaN","NaN"
80331,"NaN","NaN"
80401,10440.810000,10440.810000
80402,10580.540000,10580.540000
80403,10594.690000,10594.690000
80404,4051.030000,4051.030000
80405,4173.930000,4173.930000
80406,4200.850000,4200.850000
80407,8210.040000,8210.040000
80408,8356.130000,8356.130000
80409,9858.960000,9858.960000
80410,"NaN","NaN"
80411,5411.660000,5411.660000
80412,5156.920000,5156.920000
80413,5297.210000,5297.210000
80414,7210.580000,7210.580000
80415,8134.710000,8134.710000
80416,1641.990000,1641.990000
80417,4955.620000,4955.620000
80418,7887.910000,7887.910000
80419,5726.910000,5726.910000
80420,9813,9813
80421,9898.600000,9898.600000
80422,8077.830000,8077.830000
80423,"NaN","NaN"
80424,26.310000,26.310000
80425,49.180000,49.180000
80426,49.310000,49.310000
80427,9391.290000,9391.290000
80428,9423.300000,9423.300000
80429,9373.130000,9373.130000
80430,6416.000000,6416.000000
80501,9141.140000,9141.140000
80502,231.170000,231.170000
80503,"NaN","NaN"
80504,3643.780000,3643.780000
80505,8830.980000,8830.980000
80506,3586.000000,3586.000000
80507,8659.140000,8659.140000
80508,8534.130000,8534.130000
80509,"NaN","NaN"
80510,"NaN","NaN"
80511,8358.410000,8358.410000
80512,8315.200000,8315.200000
80513,8255.630000,8255.630000
80514,"NaN","NaN"
80515,"NaN","NaN"
80516,"NaN","NaN"
80517,"NaN","NaN"
80518,"NaN","NaN"
80519,"NaN","NaN"
80520,8626.430000,8626.430000
80521,2962.940000,2962.940000
80522,6678.280000,6678.280000
80523,6704.140000,6704.140000
80524,6590.350000,6590.350000
80525,7877.710000,7877.710000
80526,7910.650000,7910.650000
80527,7949.050000,7949.050000
80528,8185.530000,8185.530000
80529,8170.440000,8170.440000
80530,6262.880000,6262.880000
80531,8503.360000,8503.360000
80601,8035.500000,8035.500000
80602,8041.960000,8041.960000
80603,8060.720000,8060.720000
80604,8026.280000,8026.280000
80605,8004.620000,8004.620000
80606,7986.830000,7986.830000
80607,7922.930000,7922.930000
80608,8003.710000,8003.710000
80609,8068.080000,8068.080000
80610,7728.830000,7728.830000
80611,7937.470000,7937.470000
80612,8207.000000,8207.000000
80613,7060.500000,7060.500000
80614,6846.730000,6846.730000
80615,7256.600000,7256.600000
80616,7094.780000,7094.780000
80617,6742.730000,6742.730000
80618,6671.610000,6671.610000
80619,6697.410000,6697.410000
80620,6244.240000,6244.240000
80621,7112.660000,7112.660000
80622,6977.260000,6977.260000
80623,7142.900000,7142.900000
80624,7078.950000,7078.950000
80625,6570.330000,6570.330000
80626,6877.780000,6877.780000
80627,5951.490000,5951.490000
80628,5984.660000,5984.660000
80629,6966.710000,6966.710000
80630,7088.650000,7088.650000
80701,"NaN","NaN"
80702,"NaN","NaN"
80703,"NaN","NaN"
80704,"NaN","NaN"
80705,"NaN","NaN"
80706,"NaN","NaN"
80707,"NaN","NaN"
80708,"NaN","NaN"
80709,"NaN","NaN"
80710,"NaN","NaN"
80711,"NaN","NaN"
80712,"NaN","NaN"
80713,"NaN","NaN"
80714,"NaN","NaN"
80715,"NaN","NaN"
80716,"NaN","NaN"
80717,"NaN","NaN"
80718,"NaN","NaN"
80719,"NaN","NaN"
80720,"NaN","NaN"
80721,"NaN","NaN"
80722,"NaN","NaN"
80723,"NaN","NaN"
80724,"NaN","NaN"
80725,"NaN","NaN"
80726,"NaN","NaN"
80727,"NaN","NaN"
80728,"NaN","NaN"
80729,"NaN","NaN"
80730,"NaN","NaN"
80731,"NaN","NaN"
80801,6266.580000,6266.580000
80802,6229.630000,6229.630000
80803,6174.490000,6174.490000
80804,6091.280000,6091.280000
80805,6112.760000,6112.760000
80806,6053.980000,6053.980000
80807,6050.410000,6050.410000
80808,6032.410000,6032.410000
80809,6007.630000,6007.630000
80810,6009.080000,6009.080000
80811,6021.920000,6021.920000
80812,6011.620000,6011.620000
80813,6055.880000,6055.880000
80814,6111.660000,6111.660000
80815,6133.010000,6133.010000
80816,6139.170000,6139.170000
80817,6092.380000,6092.380000
80818,6007.380000,6007.380000
80819,6147.950000,6147.950000
80820,6163.030000,6163.030000
80821,6107.410000,6107.410000
80822,6103.750000,6103.750000
80823,6120.330000,6120.330000
80824,6085.620000,6085.620000
80825,6017.290000,6017.290000
80826,5996.390000,5996.390000
80827,5976.180000,5976.180000
80828,5983.160000,5983.160000
80829,6023.680000,6023.680000
80830,6106.590000,6106.590000
80831,6120.090000,6120.090000
80901,6029.240000,6029.240000
80902,6021.600000,6021.600000
80903,6020.350000,6020.350000
80904,6064.410000,6064.410000
80905,6060.890000,6060.890000
80906,6000.660000,6000.660000
80907,5976.140000,5976.140000
80908,5939.900000,5939.900000
80909,5925.670000,5925.670000
80910,5914.810000,5914.810000
80911,5876.370000,5876.370000
80912,5855.810000,5855.810000
80913,5822.040000,5822.040000
80914,5818.750000,5818.750000
80915,5797.900000,5797.900000
80916,5733.540000,5733.540000
80917,5636.040000,5636.040000
80918,5520.620000,5520.620000
80919,5471.080000,5471.080000
80920,5447.700000,5447.700000
80921,5403.570000,5403.570000
80922,5294.110000,5294.110000
80923,5263.070000,5263.070000
80924,5250.200000,5250.200000
80925,5262.900000,5262.900000
80926,5248.410000,5248.410000
80927,5269.290000,5269.290000
80928,5256.080000,5256.080000
80929,5246.370000,5246.370000
80930,5392.420000,5392.420000
81001,5433.290000,5433.290000
81002,5222.990000,5222.990000
81003,5196.990000,5196.990000
81004,5108.410000,5108.410000
81005,5139.950000,5139.950000
81006,5109.270000,5109.270000
81007,4865.700000,4865.700000
81008,4870.640000,4870.640000
81009,4976.670000,4976.670000
81010,4964.210000,4964.210000
81011,4902.610000,4902.610000
81012,4399.360000,4399.360000
81013,5398.410000,5398.410000
81014,4893.370000,4893.370000
81015,4513.390000,4513.390000
81016,4251.110000,4251.110000
81017,4461.940000,4461.940000
81018,4657.380000,4657.380000
81019,4922.060000,4922.060000
81020,4358.510000,4358.510000
81021,4828.700000,4828.700000
81022,4798.280000,4798.280000
81023,4845.340000,4845.340000
81024,4879.380000,4879.380000
81025,4898.250000,4898.250000
81026,4930.070000,4930.070000
81027,4973.920000,4973.920000
81028,4882.930000,4882.930000
81029,4854.390000,4854.390000
81030,4778.270000,4778.270000
81031,4597.260000,4597.260000
81101,4533.800000,4533.800000
81102,4433.690000,4433.690000
81103,4699.050000,4699.050000
81104,4593.380000,4593.380000
81105,4679.180000,4679.180000
81106,4701.270000,4701.270000
81107,4718.400000,4718.400000
81108,4796.880000,4796.880000
81109,5037.360000,5037.360000
81110,4897.920000,4897.920000
81111,4863.860000,4863.860000
81112,4900.890000,4900.890000
81113,5085.020000,5085.020000
81114,5070.210000,5070.210000
81115,5095.650000,5095.650000
81116,4990.600000,4990.600000
81117,5053.760000,5053.760000
81118,5094.860000,5094.860000
81119,5152.330000,5152.330000
81120,5280.120000,5280.120000
81121,5295.300000,5295.300000
81122,5274.010000,5274.010000
81123,5260.280000,5260.280000
81124,5228.970000,5228.970000
81125,5257.420000,5257.420000
81126,5266.360000,5266.360000
81127,5230.420000,5230.420000
81128,5288.850000,5288.850000
81129,5293.630000,5293.630000
81130,5273.280000,5273.280000
81201,5193.900000,5193.900000
81202,5213.260000,5213.260000
81203,5230.330000,5230.330000
81204,5277.850000,5277.850000
81205,5263.090000,5263.090000
81206,5268.380000,5268.380000
81207,5319.110000,5319.110000
81208,5271.320000,5271.320000
81209,5269.970000,5269.970000
81210,5286.450000,5286.450000
81211,5356.070000,5356.070000
81212,5388.230000,5388.230000
81213,5396.430000,5396.430000
81214,5551.760000,5551.760000
81215,5605.960000,5605.960000
81216,5634.330000,5634.330000
81217,5720.470000,5720.470000
81218,5766.290000,5766.290000
81219,5779.480000,5779.480000
81220,5774.240000,5774.240000
81221,5863.820000,5863.820000
81222,5884.800000,5884.800000
81223,5926.190000,5926.190000
81224,5965.660000,5965.660000
81225,6048.900000,6048.900000
81226,6069.790000,6069.790000
81227,6107.150000,6107.150000
81228,6195.820000,6195.820000
81229,6276.100000,6276.100000
81230,6354.360000,6354.360000
81231,6537.480000,6537.480000
90101,6604.710000,6604.710000
90102,6646.660000,6646.660000
90103,6667.290000,6667.290000
90104,6653.410000,6653.410000
90105,6758,6758
90106,6875.910000,6875.910000
90107,6911.190000,6911.190000
90108,6902.130000,6902.130000
90109,6913.630000,6913.630000
90110,6941.500000,6941.500000
90111,6931.210000,6931.210000
90112,6997.700000,6997.700000
90113,7051.430000,7051.430000
90114,7093.120000,7093.120000
90115,7177.690000,7177.690000
90116,7161.820000,7161.820000
90117,7260.500000,7260.500000
90118,7364.380000,7364.380000
90119,7349.440000,7349.440000
90120,7443.770000,7443.770000
90121,7445.200000,7445.200000
90122,7468.750000,7468.750000
90123,7442.050000,7442.050000
90124,7401.740000,7401.740000
90125,7459.300000,7459.300000
90126,7663.800000,7663.800000
90127,7680.500000,7680.500000
90128,7718.120000,7718.120000
90129,7760.240000,7760.240000
90130,7760.020000,7760.020000
90131,7868.490000,7868.490000
90201,7819.600000,7819.600000
90202,7874.500000,7874.500000
90203,7890.020000,7890.020000
90204,7842.660000,7842.660000
90205,7836.660000,7836.660000
90206,7940.040000,7940.040000
90207,7938.230000,7938.230000
90208,8022.590000,8022.590000
90209,8044.650000,8044.650000
90210,8102.880000,8102.880000
90211,8064.590000,8064.590000
90212,8092.450000,8092.450000
90213,8185.990000,8185.990000
90214,8234.800000,8234.800000
90215,8327.790000,8327.790000
90216,8410.480000,8410.480000
90217,8417.590000,8417.590000
90218,8439.130000,8439.130000
90219,8496.210000,8496.210000
90220,8471.110000,8471.110000
90221,8499.330000,8499.330000
90222,8561.270000,8561.270000
90223,8526.180000,8526.180000
90224,8611.300000,8611.300000
90225,8695.530000,8695.530000
90226,8694.270000,8694.270000
90227,8763.460000,8763.460000
90228,8799.010000,8799.010000
90301,8928.640000,8928.640000
90302,8944.570000,8944.570000
90303,9222.360000,9222.360000
90304,9334.260000,9334.260000
90305,9416.800000,9416.800000
90306,9476.950000,9476.950000
90307,9731.390000,9731.390000
90308,9559.670000,9559.670000
90309,9723.420000,9723.420000
90310,9786.100000,9786.100000
90311,9705.320000,9705.320000
90312,9662.590000,9662.590000
90313,9566.510000,9566.510000
90314,9666.100000,9666.100000
90315,9713.780000,9713.780000
90316,9846.030000,9846.030000
90317,9892.280000,9892.280000
90318,9943.610000,9943.610000
90319,10022.040000,10022.040000
90320,10079.060000,10079.060000
90321,10206.490000,10206.490000
90322,10350.580000,10350.580000
90323,10404.450000,10404.450000
90324,10469.820000,10469.820000
90325,10546.800000,10546.800000
90326,10624.000000,10624.000000
90327,10767.340000,10767.340000
90328,10835.610000,10835.610000
90329,10961.890000,10961.890000
90330,11180.920000,11180.920000
90331,11293.400000,11293.400000
90401,11157.550000,11157.550000
90402,11290.160000,11290.160000
90403,11324.690000,11324.690000
90404,11284.280000,11284.280000
90405,11305.430000,11305.430000
90406,11255.110000,11255.110000
90407,11254.490000,11254.490000
90408,11215.360000,11215.360000
90409,11207.750000,11207.750000
90410,11057.220000,11057.220000
90411,11037.740000,11037.740000
90412,11228.260000,11228.260000
90413,11349.280000,11349.280000
90414,11397.090000,11397.090000
90415,11367.020000,11367.020000
90416,11301.550000,11301.550000
90417,11245.920000,11245.920000
90418,11187.720000,11187.720000
90419,11115.260000,11115.260000
90420,11019.110000,11019.110000
90421,11030,11030
90422,11008.180000,11008.180000
90423,10975.580000,10975.580000
90424,11007.390000,11007.390000
90425,10949.240000,10949.240000
90426,11014.100000,11014.100000
90427,10994.770000,10994.770000
90428,10915.710000,10915.710000
90429,10865.800000,10865.800000
90430,10935.540000,10935.540000
90501,10896.870000,10896.870000
90502,10848.980000,10848.980000
90503,10779.850000,10779.850000
90504,10637.410000,10637.410000
90505,10570.160000,10570.160000
90506,10515.810000,10515.810000
90507,10460.250000,10460.250000
90508,10394.750000,10394.750000
90509,10340.300000,10340.300000
90510,10341.120000,10341.120000
90511,10286.980000,10286.980000
90512,10211.360000,10211.360000
90513,10249.690000,10249.690000
90514,10242.190000,10242.190000
90515,10270.650000,10270.650000
90516,10288.480000,10288.480000
90517,10302.880000,10302.880000
90518,10266.060000,10266.060000
90519,10257.570000,10257.570000
90520,10279.680000,10279.680000
90521,10302.280000,10302.280000
90522,10306.330000,10306.330000
90523,10331.590000,10331.590000
90524,10415.130000,10415.130000
90525,10580.070000,10580.070000
90526,10560.430000,10560.430000
90527,10587.520000,10587.520000
90528,10547.330000,10547.330000
90529,10547.640000,10547.640000
90530,10505.510000,10505.510000
90531,10592.930000,10592.930000
90601,10619.270000,10619.270000
90602,10541.740000,10541.740000
90603,10486.020000,10486.020000
90604,10526.520000,10526.520000
90605,10489.140000,10489.140000
90606,10514.720000,10514.720000
90607,10622.810000,10622.810000
90608,10605.430000,10605.430000
90609,10670.260000,10670.260000
90610,10737.920000,10737.920000
90611,10854.400000,10854.400000
90612,8920.970000,8920.970000
90613,9016.450000,9016.450000
90614,9012.070000,9012.070000
90615,5616.400000,5616.400000
90616,10991.530000,10991.530000
90617,11061.980000,11061.980000
90618,10975.400000,10975.400000
90619,10955.740000,10955.740000
90620,10926.800000,10926.800000
90621,10980.070000,10980.070000
90622,10987.890000,10987.890000
90623,10965.810000,10965.810000
90624,10968.250000,10968.250000
90625,10928.460000,10928.460000
90626,10950.190000,10950.190000
90627,10981.750000,10981.750000
90628,10999.720000,10999.720000
90629,11062.260000,11062.260000
90630,11073.280000,11073.280000
90701,11016.500000,11016.500000
90702,11035.960000,11035.960000
90703,11038.740000,11038.740000
90704,11095.010000,11095.010000
90705,11193.780000,11193.780000
90706,11049.490000,11049.490000
90707,11111.810000,11111.810000
90708,11104.920000,11104.920000
90709,11051.370000,11051.370000
90710,10951.790000,10951.790000
90711,10941.630000,10941.630000
90712,10869.920000,10869.920000
90713,10853.040000,10853.040000
90714,10791.870000,10791.870000
90715,10805.830000,10805.830000
90716,10618.600000,10618.600000
90717,10599.730000,10599.730000
90718,10690.220000,10690.220000
90719,10688.710000,10688.710000
90720,10558.570000,10558.570000
90721,10486.890000,10486.890000
90722,10443.130000,10443.130000
90723,10396.050000,10396.050000
90724,10215.150000,10215.150000
90725,10120.670000,10120.670000
90726,10256.390000,10256.390000
90727,10150.890000,10150.890000
90728,10183.560000,10183.560000
90729,10224.150000,10224.150000
90730,10285.360000,10285.360000
90731,10326.930000,10326.930000
90801,10388.670000,10388.670000
90802,10325.940000,10325.940000
90803,10412.020000,10412.020000
90804,10335.770000,10335.770000
90805,10374.050000,10374.050000
90806,10370.410000,10370.410000
90807,10408.020000,10408.020000
90808,10425.910000,10425.910000
90809,10443.660000,10443.660000
90810,10423.090000,10423.090000
90811,10473.340000,10473.340000
90812,10487.800000,10487.800000
90813,10357.380000,10357.380000
90814,10306.120000,10306.120000
90815,10231.470000,10231.470000
90816,10213.420000,10213.420000
90817,10161.380000,10161.380000
90818,10055.860000,10055.860000
90819,10058.060000,10058.060000
90820,10013.970000,10013.970000
90821,9310.440000,9310.440000
90822,9708.250000,9708.250000
90823,9973.600000,9973.600000
90824,9950.490000,9950.490000
90825,9907.710000,9907.710000
90826,9917.860000,9917.860000
90827,9818.020000,9818.020000
90828,9731.520000,9731.520000
90829,10120.890000,10120.890000
90830,9649.000000,9649.000000
90831,9589.110000,9589.110000
90901,9530.130000,9530.130000
90902,9493.360000,9493.360000
90903,9249.790000,9249.790000
90904,9248.830000,9248.830000
90905,9346.780000,9346.780000
90906,9378.980000,9378.980000
90907,9345.090000,9345.090000
90908,9252.560000,9252.560000
90909,9208.390000,9208.390000
90910,9175.270000,9175.270000
90911,9217.970000,9217.970000
90912,9223.820000,9223.820000
90913,9219.380000,9219.380000
90914,9236.640000,9236.640000
90915,9306.340000,9306.340000
90916,9274.650000,9274.650000
90917,9221.230000,9221.230000
90918,8497.140000,8497.140000
90919,8493.700000,8493.700000
90920,8482.460000,8482.460000
90921,9232.600000,9232.600000
90922,9201.670000,9201.670000
90923,9219.400000,9219.400000
90924,9262.080000,9262.080000
90925,9294.520000,9294.520000
90926,9275.610000,9275.610000
90927,9371.520000,9371.520000
90928,9333.750000,9333.750000
90929,9309.670000,9309.670000
90930,9256.220000,9256.220000
91001,9233.890000,9233.890000
91002,9147.630000,9147.630000
91003,8988.510000,8988.510000
91004,9107.370000,9107.370000
91005,9122.880000,9122.880000
91006,9096.770000,9096.770000
91007,9143.580000,9143.580000
91008,9219.360000,9219.360000
91009,8800.720000,8800.720000
91010,8848.340000,8848.340000
91011,9197.860000,9197.860000
91012,9157.440000,9157.440000
91013,9084.520000,9084.520000
91014,8997.370000,8997.370000
91015,8985.610000,8985.610000
91016,8986.740000,8986.740000
91017,8892.080000,8892.080000
91018,8876.670000,8876.670000
91019,8820.810000,8820.810000
91020,8857.340000,8857.340000
91021,8879.320000,8879.320000
91022,8912.270000,8912.270000
91023,8970.860000,8970.860000
91024,9059.900000,9059.900000
91025,9143.270000,9143.270000
91026,9170.630000,9170.630000
91027,9223.240000,9223.240000
91028,9258.280000,9258.280000
91029,9283.950000,9283.950000
91030,9517.680000,9517.680000
91031,9334.090000,9334.090000
91101,8924.600000,8924.600000
91102,9289.170000,9289.170000
91103,9281.290000,9281.290000
91104,9291.540000,9291.540000
91105,9344.380000,9344.380000
91106,9410.100000,9410.100000
91107,9402.460000,9402.460000
91108,9483.080000,9483.080000
91109,9470.040000,9470.040000
91110,9529.810000,9529.810000
91111,9577.180000,9577.180000
91112,9631.310000,9631.310000
91113,9735.620000,9735.620000
91114,9789.020000,9789.020000
91115,9857.170000,9857.170000
91116,9980.520000,9980.520000
91117,9978.270000,9978.270000
91118,10063.410000,10063.410000
91119,10024.930000,10024.930000
91120,10099.210000,10099.210000
91121,9960.450000,9960.450000
91122,10294.810000,10294.810000
91123,10377.570000,10377.570000
91124,10426.500000,10426.500000
91125,10469.550000,10469.550000
91126,10535.430000,10535.430000
91127,10574.220000,10574.220000
91128,10577.240000,10577.240000
91129,10579.630000,10579.630000
91130,10652.940000,10652.940000
91201,10626.920000,10626.920000
91202,10666.070000,10666.070000
91203,10683.550000,10683.550000
91204,10765.540000,10765.540000
91205,10762.440000,10762.440000
91206,10886.020000,10886.020000
91207,10896.290000,10896.290000
91208,10884.170000,10884.170000
91209,10823.660000,10823.660000
91210,10845.020000,10845.020000
91211,10864.740000,10864.740000
91212,10902.440000,10902.440000
91213,11039.910000,11039.910000
91214,11092.520000,11092.520000
91215,11096.160000,11096.160000
91216,11087.160000,11087.160000
91217,11075.200000,11075.200000
91218,11101.370000,11101.370000
91219,11143.590000,11143.590000
91220,11161.940000,11161.940000
91221,11202.830000,11202.830000
91222,11227.140000,11227.140000
91223,11244.040000,11244.040000
91224,11288.960000,11288.960000
91225,11284.320000,11284.320000
91226,11308.210000,11308.210000
91227,11336.840000,11336.840000
91228,11467.810000,11467.810000
91229,11486.140000,11486.140000
91230,11453.740000,11453.740000
91231,11484.870000,11484.870000
100101,8881.980000,8881.980000
100102,10101.560000,10101.560000
100103,11520.990000,11520.990000
100104,11597.670000,11597.670000
100105,11540.180000,11540.180000
100106,11503.130000,11503.130000
100107,11480.470000,11480.470000
100108,11499.140000,11499.140000
100109,11659.060000,11659.060000
100110,11756.230000,11756.230000
100111,11827.970000,11827.970000
100112,11953.440000,11953.440000
100113,12007.380000,12007.380000
100114,12001.400000,12001.400000
100115,11201.260000,11201.260000
100116,11270.480000,11270.480000
100117,12199.590000,12199.590000
100118,12262.260000,12262.260000
100119,12335.600000,12335.600000
100120,12391.440000,12391.440000
100121,12399.400000,12399.400000
100122,12416.580000,12416.580000
100123,12436.930000,12436.930000
100124,12510.770000,12510.770000
100125,12538.630000,12538.630000
100126,12739.190000,12739.190000
100127,12761.330000,12761.330000
100128,12837.600000,12837.600000
100129,12900.420000,12900.420000
100130,12966.230000,12966.230000
100131,12957.220000,12957.220000
100201,12934.570000,12934.570000
100202,13036.490000,13036.490000
100203,13129.420000,13129.420000
100204,13092.160000,13092.160000
100205,13066.140000,13066.140000
100206,13169.970000,13169.970000
100207,13134.550000,13134.550000
100208,13111.490000,13111.490000
100209,13137.760000,13137.760000
100210,13113.320000,13113.320000
100211,12915.790000,12915.790000
100212,12751.000000,12751.000000
100213,12838.030000,12838.030000
100214,13049.560000,13049.560000
100215,13018.790000,13018.790000
100216,13093.580000,13093.580000
100217,13038.970000,13038.970000
100218,13033.910000,13033.910000
100219,13064.110000,13064.110000
100220,13113.600000,13113.600000
100221,13234.270000,13234.270000
100222,13304.420000,13304.420000
100223,13318.770000,13318.770000
100224,13319.820000,13319.820000
100225,13333.100000,13333.100000
100226,13289.020000,13289.020000
100227,13115.100000,13115.100000
100228,13251.590000,13251.590000
100301,13144.410000,13144.410000
100302,13083.110000,13083.110000
100303,13019.030000,13019.030000
100304,13009.560000,13009.560000
100305,13017.020000,13017.020000
100306,13067.270000,13067.270000
100307,13128.750000,13128.750000
100308,13190.160000,13190.160000
100309,13279.030000,13279.030000
100310,13291.900000,13291.900000
100311,13298.900000,13298.900000
100312,13336.350000,13336.350000
100313,11795.090000,11795.090000
100314,13444.630000,13444.630000
100315,13497.050000,13497.050000
100316,13489.140000,13489.140000
100317,13541.900000,13541.900000
100318,13688.170000,13688.170000
100319,13741.310000,13741.310000
100320,13624.260000,13624.260000
100321,13755.140000,13755.140000
100322,13606.200000,13606.200000
100323,13772.690000,13772.690000
100324,13844.790000,13844.790000
100325,13839.040000,13839.040000
100326,13870.160000,13870.160000
100327,13893.760000,13893.760000
100328,14037.230000,14037.230000
100329,14045.750000,14045.750000
100330,14047.430000,14047.430000
100331,14169.470000,14169.470000
100401,13761.950000,13761.950000
100402,13773.170000,13773.170000
100403,13234.450000,13234.450000
100404,14399.240000,14399.240000
100405,14388.210000,14388.210000
100406,14389.210000,14389.210000
100407,14328.380000,14328.380000
100408,14294.770000,14294.770000
100409,14343.090000,14343.090000
100410,14313.840000,14313.840000
100411,14307.160000,14307.160000
100412,14190.420000,14190.420000
100413,14148.760000,14148.760000
100414,14069.560000,14069.560000
100415,14123.930000,14123.930000
100416,14109.490000,14109.490000
100417,14079.460000,14079.460000
100418,14086.810000,14086.810000
100419,14094.280000,14094.280000
100420,14011.140000,14011.140000
100421,13928.180000,13928.180000
100422,13905.070000,13905.070000
100423,13891.270000,13891.270000
100424,13868.240000,13868.240000
100425,13953.810000,13953.810000
100426,13994.080000,13994.080000
100427,13925.220000,13925.220000
100428,13899.180000,13899.180000
100429,13884.820000,13884.820000
100430,13893.300000,13893.300000
100501,14334.880000,14334.880000
100502,13793.480000,13793.480000
100503,13776.700000,13776.700000
100504,13745.180000,13745.180000
100505,13649.960000,13649.960000
100506,13596.980000,13596.980000
100507,13483.340000,13483.340000
100508,13469.830000,13469.830000
100509,13480.300000,13480.300000
100510,13468.470000,13468.470000
100511,13431.680000,13431.680000
100512,13364.020000,13364.020000
100513,13289.530000,13289.530000
100514,13319.030000,13319.030000
100515,13300.070000,13300.070000
100516,13280.550000,13280.550000
100517,13177.170000,13177.170000
100518,13122.680000,13122.680000
100519,12921.010000,12921.010000
100520,12945.320000,12945.320000
100521,12841.440000,12841.440000
100522,12780.520000,12780.520000
100523,12753.300000,12753.300000
100524,12735.070000,12735.070000
100525,12733.630000,12733.630000
100526,12616.830000,12616.830000
100527,12654.650000,12654.650000
100528,12649.960000,12649.960000
100529,12617.170000,12617.170000
100530,12616.520000,12616.520000
100531,12647.160000,12647.160000
100601,12602.180000,12602.180000
100602,12604.600000,12604.600000
100603,12486.130000,12486.130000
100604,12473.990000,12473.990000
100605,12471.170000,12471.170000
100606,12406.030000,12406.030000
100607,12431.610000,12431.610000
100608,12131.380000,12131.380000
100609,12086.810000,12086.810000
100610,12487.280000,12487.280000
100611,12325.390000,12325.390000
100612,12417.720000,12417.720000
100613,12529.030000,12529.030000
100614,12468.060000,12468.060000
100615,12439.850000,12439.850000
100616,12380.410000,12380.410000
100617,12384.540000,12384.540000
100618,12500.390000,12500.390000
100619,12389.430000,12389.430000
100620,12484.280000,12484.280000
100621,12465.210000,12465.210000
100622,12377.090000,12377.090000
100623,12332.370000,12332.370000
100624,12369.270000,12369.270000
100625,12344.960000,12344.960000
100626,12367.420000,12367.420000
100627,12443.590000,12443.590000
100628,12451.740000,12451.740000
100629,12442.490000,12442.490000
100630,12358.650000,12358.650000
100701,12270.680000,12270.680000
100702,12241.300000,12241.300000
100703,12168.610000,12168.610000
100704,12194.180000,12194.180000
100705,12171.770000,12171.770000
100706,12176.060000,12176.060000
100707,12149.960000,12149.960000
100708,12131.470000,12131.470000
100709,12111.150000,12111.150000
100710,12025.750000,12025.750000
100711,11950.280000,11950.280000
100712,11868.050000,11868.050000
100713,11852.580000,11852.580000
100714,11764.060000,11764.060000
100715,11754.900000,11754.900000
100716,11716.690000,11716.690000
100717,11712.950000,11712.950000
100718,11678.840000,11678.840000
100719,11663.750000,11663.750000
100720,11607.540000,11607.540000
100721,11656.410000,11656.410000
100722,11674.870000,11674.870000
100723,11694.520000,11694.520000
100724,11687.870000,11687.870000
100725,11693.780000,11693.780000
100726,11683.180000,11683.180000
100727,11645.010000,11645.010000
100728,11594.980000,11594.980000
100729,11543.170000,11543.170000
100730,11522.140000,11522.140000
100731,11520.970000,11520.970000
100801,11472.650000,11472.650000
100802,15011.560000,15011.560000
100803,11422.130000,11422.130000
100804,11574.570000,11574.570000
100805,11324.950000,11324.950000
100806,10921.770000,10921.770000
100807,11276.450000,11276.450000
