"Year","MEX production EXIOBASE 3.8.2","MEX production WIOD2016","MEX production OECDv2","MEX production Eora 199.082 (2023)","MEX production FIGARO April 2022","MEX production GCB 2023v26","MEX consumption EXIOBASE 3.8.2","MEX consumption WIOD2016","MEX consumption OECDv2","MEX consumption Eora 199.082 (2023)","MEX consumption FIGARO April 2022","MEX consumption GCB 2023v26","MEX net_trade EXIOBASE 3.8.2","MEX net_trade WIOD2016","MEX net_trade OECDv2","MEX net_trade Eora 199.082 (2023)","MEX net_trade FIGARO April 2022","MEX net_trade GCB 2023v26"
2011,488.385907,493.982643,432.417218,505,495.754982,483.404736,496.075467,518.726514,456.797221,485.061100,570.300377,537.657332,7.689560,24.743871,24.380003,-19.938900,74.545395,54.252596
2012,492.988628,506.630110,,490,514.640556,501.568847,489.873499,527.313451,,471.435500,586.952106,548.456469,-3.115128,20.683341,,-18.564500,72.311550,46.887622
2013,482.076823,495.331933,,498,501.830026,495.485167,475.426815,513.962292,,482.442200,572.590096,557.005795,-6.650008,18.630359,,-15.557800,70.760070,61.520628
2014,467.589196,488.677534,,504,489.180577,484.113702,482.408987,513.475391,,474.817200,568.995898,548.533960,14.819790,24.797857,,-29.182800,79.815321,64.420258
2015,476.708329,,,500,498.687256,479.519786,436.024694,,,486.968900,564.359711,539.292021,-40.683635,,,-13.031100,65.672455,59.772235
2016,482.108396,,,531,507.127881,479.789759,464.793862,,,497.645200,558.312495,528.771955,-17.314534,,,-33.354800,51.184614,48.982196
2017,484.140722,,,539,510.402436,465.620949,435.486435,,,491.798100,567.842347,516.627410,-48.654288,,,-47.201900,57.439911,51.006460
2018,478.208530,,,543.367400,494.714454,470.285863,466.125761,,,489.693800,553.175395,522.517127,-12.082769,,,-53.673600,58.460941,52.231263
2019,472.512493,,,556.726400,492.092503,468.322146,450.814509,,,507.679700,543.997335,514.544340,-21.697983,,,-49.046700,51.904832,46.222194
2020,486.998451,,,567.899800,404.977823,442.289086,467.822329,,,532.944800,436.322943,468.585072,-19.176122,,,-34.955000,31.345120,26.295986
2021,468.167805,,,577.686200,,468.279019,438.868190,,,529.374900,,506.236717,-29.299615,,,-48.311300,,37.957698
2022,508.945502,,,603.011000,,,486.652376,,,523.803700,,,-22.293126,,,-79.207300,,
