"Year","Coal","Oil","Gas","Others","Land-use change"
1998,8.761669,9.850362,4.489340,0.885808,5.134418
1999,8.694800,10.074987,4.622641,0.908991,5.073022
2000,9.012492,10.284601,4.734842,0.987305,4.537287
2001,9.062812,10.374439,4.782719,1.019704,4.164914
2002,9.455515,10.369750,4.923490,1.075651,4.718125
2003,10.250968,10.663935,5.096389,1.136014,5.093357
2004,10.897003,11.014798,5.267579,1.218083,4.576294
2005,11.570086,11.105161,5.394105,1.292400,4.099913
2006,12.222242,11.209075,5.519419,1.380964,4.639984
2007,12.811338,11.246437,5.705789,1.471141,4.046596
2008,13.234705,11.201883,5.872526,1.501201,4.138871
2009,13.067147,10.999251,5.760081,1.538036,4.529241
2010,13.970832,11.306793,6.205800,1.614762,4.278861
2011,14.781225,11.337211,6.377916,1.697591,4.831138
2012,14.949697,11.499119,6.507532,1.742258,4.676440
2013,15.042880,11.586005,6.552317,1.808623,4.316789
2014,15.062902,11.632233,6.660134,1.875315,4.563695
2015,14.718203,11.881131,6.785935,1.809668,4.766906
2016,14.360628,11.959219,6.967333,1.866449,3.703575
2017,14.453702,12.130801,7.117014,1.923350,3.662879
2018,14.718145,12.190055,7.457572,1.978957,3.857539
2019,14.573219,12.229642,7.553394,2.043067,3.825411
2020,13.976098,11.072501,7.399509,2.061405,3.209993
